Non-Penalty Goals,0.10,17
Non-Penalty xG,0.11,10
Shots Total,2.00,42
Assists,0.10,25
xAG,0.32,94
npxG + xAG,0.43,63
Shot-Creating Actions,5.81,91
Passes Attempted,43.05,73
Pass Completion %,72.3,39
Progressive Passes,4.00,54
Progressive Carries,6.61,99
Successful Take-Ons,3.80,98
Touches (Att Pen),3.80,67
Progressive Passes Rec,12.41,99
Tackles,0.80,16
Interceptions,0.20,4
Blocks,0.20,2
Clearances,0.00,1
Aerials won,0.60,61
Goals,0.10,13
Assists,0.10,25
Goals + Assists,0.20,12
Non-Penalty Goals,0.10,17
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.30,13
Red Cards,0.10,1
xG,0.11,6
Non-Penalty xG,0.11,10
xAG,0.32,94
npxG + xAG,0.43,63
Progressive Carries,6.61,99
Progressive Passes,4.00,54
Progressive Passes Rec,12.41,99
Goals,0.10,13
Shots Total,2.00,42
Shots on target,0.60,30
Shots on target %,30.0,28
Goals/Shot,0.05,20
Goals/Shot on target,0.17,21
Average Shot Distance,20.90,30
Shots from free kicks,0.30,90
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.11,6
Non-Penalty xG,0.11,10
npxG/Sh,0.05,2
Goals - xG,-0.01,46
Non-Penalty Goals - npxG,-0.01,48
Passes Completed,31.13,69
Passes Attempted,43.05,73
Pass Completion %,72.3,39
Total Passing Distance,502.56,69
Progressive Passing Distance,120.03,51
Passes Completed (Short),17.22,73
Passes Attempted (Short),20.02,73
Pass Completion % (Short),86.0,61
Passes Completed (Medium),10.61,69
Passes Attempted (Medium),14.62,76
Pass Completion % (Medium),72.6,26
Passes Completed (Long),2.70,61
Passes Attempted (Long),5.61,65
Pass Completion % (Long),48.2,46
Assists,0.10,25
xAG,0.32,94
Expected Assists,0.37,96
Key Passes,3.20,95
Passes into Final Third,1.80,37
Passes into Penalty Area,2.30,88
Crosses into Penalty Area,1.10,98
Progressive Passes,4.00,54
Passes Attempted,43.05,73
Live-ball passes,39.14,73
Dead-ball passes,3.50,60
Passes from Free Kicks,0.60,55
Through Balls,0.60,94
Switches,0.40,68
Crosses,7.11,91
Throw-Ins taken,0.50,50
Corner Kicks,2.40,73
Inswinging Corner Kicks,1.00,69
Outswinging Corner Kicks,0.50,65
Straight Corner Kicks,0.00,38
Passes Completed,31.13,69
Passes Offside,0.40,7
Passes Blocked,1.20,33
Shot-Creating Actions,5.81,91
SCA (PassLive),4.20,97
SCA (PassDead),0.30,52
SCA (TO),0.80,98
SCA (Sh),0.10,12
SCA (Fld),0.40,86
SCA (Def),0.00,20
Goal-Creating Actions,0.20,13
GCA (PassLive),0.20,29
GCA (PassDead),0.00,29
GCA (TO),0.00,25
GCA (Sh),0.00,21
GCA (Fld),0.00,27
GCA (Def),0.00,46
Tackles,0.80,16
Tackles Won,0.20,2
Tackles (Def 3rd),0.10,1
Tackles (Mid 3rd),0.40,27
Tackles (Att 3rd),0.30,56
Dribblers Tackled,0.30,15
Dribbles Challenged,1.70,73
% of dribblers tackled,17.6,1
Challenges Lost,1.40,11
Blocks,0.20,2
Shots Blocked,0.10,63
Passes Blocked,0.10,1
Interceptions,0.20,4
Tkl+Int,1.00,7
Clearances,0.00,1
Errors,0.00,54
Touches,54.06,69
Touches (Def Pen),0.30,9
Touches (Def 3rd),3.30,5
Touches (Mid 3rd),20.12,50
Touches (Att 3rd),31.43,89
Touches (Att Pen),3.80,67
Touches (Live-Ball),54.06,69
Take-Ons Attempted,7.71,98
Successful Take-Ons,3.80,98
Successful Take-On %,49.4,64
Times Tackled During Take-On,3.00,98
Tackled During Take-On Percentage,39.0,84
Carries,38.54,84
Total Carrying Distance,332.17,98
Progressive Carrying Distance,178.10,99
Progressive Carries,6.61,99
Carries into Final Third,3.90,98
Carries into Penalty Area,2.20,98
Miscontrols,2.80,23
Dispossessed,2.90,2
Passes Received,43.95,83
Progressive Passes Rec,12.41,99
Yellow Cards,0.30,13
Red Cards,0.10,1
Second Yellow Card,0.10,1
Fouls Committed,0.80,70
Fouls Drawn,2.40,83
Offsides,0.30,39
Crosses,7.11,91
Interceptions,0.20,4
Tackles Won,0.20,2
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,3.30,9
Aerials won,0.60,61
Aerials lost,0.60,84
% of Aerials Won,50.0,89
