Non-Penalty Goals,0.06,5
Non-Penalty xG,0.09,7
Shots Total,1.64,23
Assists,0.41,96
xAG,0.23,73
npxG + xAG,0.32,27
Shot-Creating Actions,4.93,83
Passes Attempted,30.67,32
Pass Completion %,66.7,12
Progressive Passes,4.88,66
Progressive Carries,6.87,99
Successful Take-Ons,5.05,99
Touches (Att Pen),2.94,30
Progressive Passes Rec,8.05,66
Tackles,0.82,17
Interceptions,0.35,23
Blocks,1.06,70
Clearances,0.35,33
Aerials won,0.24,16
Goals,0.06,5
Assists,0.41,96
Goals + Assists,0.47,56
Non-Penalty Goals,0.06,5
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.29,13
Red Cards,0.00,59
xG,0.09,4
Non-Penalty xG,0.09,7
xAG,0.23,73
npxG + xAG,0.32,27
Progressive Carries,6.87,99
Progressive Passes,4.88,66
Progressive Passes Rec,8.05,66
Goals,0.06,5
Shots Total,1.64,23
Shots on target,0.53,22
Shots on target %,32.1,37
Goals/Shot,0.04,13
Goals/Shot on target,0.11,8
Average Shot Distance,20.50,35
Shots from free kicks,0.00,20
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.09,4
Non-Penalty xG,0.09,7
npxG/Sh,0.06,9
Goals - xG,-0.04,38
Non-Penalty Goals - npxG,-0.04,38
Passes Completed,20.44,25
Passes Attempted,30.67,32
Pass Completion %,66.7,12
Total Passing Distance,321.70,27
Progressive Passing Distance,123.72,52
Passes Completed (Short),10.05,14
Passes Attempted (Short),12.69,18
Pass Completion % (Short),79.2,8
Passes Completed (Medium),8.75,52
Passes Attempted (Medium),11.75,52
Pass Completion % (Medium),74.5,37
Passes Completed (Long),1.17,23
Passes Attempted (Long),3.11,37
Pass Completion % (Long),37.7,11
Assists,0.41,96
xAG,0.23,73
Expected Assists,0.22,70
Key Passes,2.00,63
Passes into Final Third,2.64,61
Passes into Penalty Area,2.00,82
Crosses into Penalty Area,0.35,66
Progressive Passes,4.88,66
Passes Attempted,30.67,32
Live-ball passes,29.37,34
Dead-ball passes,1.06,25
Passes from Free Kicks,0.24,33
Through Balls,0.29,69
Switches,0.12,20
Crosses,3.00,45
Throw-Ins taken,0.41,45
Corner Kicks,0.41,38
Inswinging Corner Kicks,0.18,40
Outswinging Corner Kicks,0.00,18
Straight Corner Kicks,0.00,38
Passes Completed,20.44,25
Passes Offside,0.24,35
Passes Blocked,1.47,12
Shot-Creating Actions,4.93,83
SCA (PassLive),2.88,67
SCA (PassDead),0.06,33
SCA (TO),1.23,99
SCA (Sh),0.18,30
SCA (Fld),0.53,92
SCA (Def),0.06,70
Goal-Creating Actions,0.65,87
GCA (PassLive),0.41,80
GCA (PassDead),0.00,29
GCA (TO),0.06,78
GCA (Sh),0.00,21
GCA (Fld),0.18,98
GCA (Def),0.00,46
Tackles,0.82,17
Tackles Won,0.35,7
Tackles (Def 3rd),0.18,12
Tackles (Mid 3rd),0.35,23
Tackles (Att 3rd),0.29,56
Dribblers Tackled,0.18,2
Dribbles Challenged,0.59,3
% of dribblers tackled,30.0,18
Challenges Lost,0.41,91
Blocks,1.06,70
Shots Blocked,0.00,9
Passes Blocked,1.06,76
Interceptions,0.35,23
Tkl+Int,1.17,16
Clearances,0.35,33
Errors,0.00,54
Touches,44.71,35
Touches (Def Pen),0.24,6
Touches (Def 3rd),4.11,20
Touches (Mid 3rd),20.50,52
Touches (Att 3rd),22.03,41
Touches (Att Pen),2.94,30
Touches (Live-Ball),44.71,35
Take-Ons Attempted,8.46,99
Successful Take-Ons,5.05,99
Successful Take-On %,59.7,95
Times Tackled During Take-On,2.76,96
Tackled During Take-On Percentage,32.6,95
Carries,32.31,60
Total Carrying Distance,347.72,98
Progressive Carrying Distance,202.15,99
Progressive Carries,6.87,99
Carries into Final Third,4.88,99
Carries into Penalty Area,1.82,94
Miscontrols,3.17,11
Dispossessed,2.17,9
Passes Received,34.19,49
Progressive Passes Rec,8.05,66
Yellow Cards,0.29,13
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,1.12,38
Fouls Drawn,2.17,73
Offsides,0.18,62
Crosses,3.00,45
Interceptions,0.35,23
Tackles Won,0.35,7
Penalty Kicks Won,0.06,85
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,4.58,54
Aerials won,0.24,16
Aerials lost,0.82,63
% of Aerials Won,22.2,17
