Non-Penalty Goals,0.10,71
Non-Penalty xG,0.11,79
Shots Total,1.62,84
Assists,0.10,63
xAG,0.09,58
npxG + xAG,0.20,70
Shot-Creating Actions,2.86,72
Passes Attempted,43.04,36
Pass Completion %,82.5,57
Progressive Passes,5.25,58
Progressive Carries,2.77,97
Successful Take-Ons,0.48,33
Touches (Att Pen),2.58,92
Progressive Passes Rec,6.78,98
Tackles,1.43,17
Interceptions,0.48,3
Blocks,0.95,33
Clearances,0.76,23
Aerials won,0.95,57
Goals,0.10,69
Assists,0.10,63
Goals + Assists,0.19,67
Non-Penalty Goals,0.10,71
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.48,4
Red Cards,0.00,62
xG,0.11,77
Non-Penalty xG,0.11,79
xAG,0.09,58
npxG + xAG,0.20,70
Progressive Carries,2.77,97
Progressive Passes,5.25,58
Progressive Passes Rec,6.78,98
Goals,0.10,69
Shots Total,1.62,84
Shots on target,0.57,88
Shots on target %,35.3,78
Goals/Shot,0.06,53
Goals/Shot on target,0.17,41
Average Shot Distance,18.80,77
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.11,77
Non-Penalty xG,0.11,79
npxG/Sh,0.07,60
Goals - xG,-0.02,39
Non-Penalty Goals - npxG,-0.02,39
Passes Completed,35.50,39
Passes Attempted,43.04,36
Pass Completion %,82.5,57
Total Passing Distance,520.72,23
Progressive Passing Distance,149.84,22
Passes Completed (Short),20.42,76
Passes Attempted (Short),22.05,73
Pass Completion % (Short),92.6,91
Passes Completed (Medium),11.55,20
Passes Attempted (Medium),14.32,22
Pass Completion % (Medium),80.7,19
Passes Completed (Long),2.00,9
Passes Attempted (Long),3.05,5
Pass Completion % (Long),65.6,55
Assists,0.10,63
xAG,0.09,58
Expected Assists,0.16,88
Key Passes,1.15,68
Passes into Final Third,3.72,40
Passes into Penalty Area,1.81,97
Crosses into Penalty Area,0.95,99
Progressive Passes,5.25,58
Passes Attempted,43.04,36
Live-ball passes,41.13,38
Dead-ball passes,1.91,50
Passes from Free Kicks,0.48,16
Through Balls,0.00,6
Switches,0.10,5
Crosses,3.15,82
Throw-Ins taken,1.05,91
Corner Kicks,0.38,66
Inswinging Corner Kicks,0.19,68
Outswinging Corner Kicks,0.19,72
Straight Corner Kicks,0.00,42
Passes Completed,35.50,39
Passes Offside,0.00,98
Passes Blocked,1.05,15
Shot-Creating Actions,2.86,72
SCA (PassLive),2.39,84
SCA (PassDead),0.19,67
SCA (TO),0.10,71
SCA (Sh),0.19,83
SCA (Fld),0.00,10
SCA (Def),0.00,15
Goal-Creating Actions,0.57,99
GCA (PassLive),0.57,99
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.43,17
Tackles Won,0.86,23
Tackles (Def 3rd),0.38,5
Tackles (Mid 3rd),0.86,42
Tackles (Att 3rd),0.19,46
Dribblers Tackled,0.95,55
Dribbles Challenged,2.10,59
% of dribblers tackled,45.5,49
Challenges Lost,1.15,40
Blocks,0.95,33
Shots Blocked,0.10,11
Passes Blocked,0.86,54
Interceptions,0.48,3
Tkl+Int,1.91,9
Clearances,0.76,23
Errors,0.00,67
Touches,51.44,28
Touches (Def Pen),1.05,12
Touches (Def 3rd),4.39,1
Touches (Mid 3rd),26.91,20
Touches (Att 3rd),20.81,92
Touches (Att Pen),2.58,92
Touches (Live-Ball),51.44,28
Take-Ons Attempted,1.15,47
Successful Take-Ons,0.48,33
Successful Take-On %,41.7,18
Times Tackled During Take-On,0.38,38
Tackled During Take-On Percentage,33.3,71
Carries,31.88,55
Total Carrying Distance,163.01,62
Progressive Carrying Distance,82.75,69
Progressive Carries,2.77,97
Carries into Final Third,2.10,93
Carries into Penalty Area,0.57,95
Miscontrols,0.95,73
Dispossessed,1.43,6
Passes Received,39.13,61
Progressive Passes Rec,6.78,98
Yellow Cards,0.48,4
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,1.34,47
Fouls Drawn,1.62,81
Offsides,0.00,75
Crosses,3.15,82
Interceptions,0.48,3
Tackles Won,0.86,23
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,4.01,2
Aerials won,0.95,57
Aerials lost,1.24,29
% of Aerials Won,43.5,35
