Non-Penalty Goals,0.05,69
Non-Penalty xG,0.05,51
Shots Total,0.42,36
Assists,0.00,29
xAG,0.02,41
npxG + xAG,0.06,42
Shot-Creating Actions,0.63,40
Passes Attempted,55.31,72
Pass Completion %,84.0,60
Progressive Passes,3.40,71
Progressive Carries,0.68,64
Successful Take-Ons,0.52,92
Touches (Att Pen),0.73,39
Progressive Passes Rec,0.21,55
Tackles,1.88,84
Interceptions,1.26,39
Blocks,0.99,28
Clearances,3.30,19
Aerials won,2.46,59
Goals,0.05,68
Assists,0.00,29
Goals + Assists,0.05,47
Non-Penalty Goals,0.05,69
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.37,8
Red Cards,0.00,64
xG,0.05,50
Non-Penalty xG,0.05,51
xAG,0.02,41
npxG + xAG,0.06,42
Progressive Carries,0.68,64
Progressive Passes,3.40,71
Progressive Passes Rec,0.21,55
Goals,0.05,68
Shots Total,0.42,36
Shots on target,0.05,18
Shots on target %,12.5,17
Goals/Shot,0.13,76
Goals/Shot on target,1.00,92
Average Shot Distance,8.70,92
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.05,50
Non-Penalty xG,0.05,51
npxG/Sh,0.11,66
Goals - xG,0.01,70
Non-Penalty Goals - npxG,0.01,70
Passes Completed,46.47,74
Passes Attempted,55.31,72
Pass Completion %,84.0,60
Total Passing Distance,922.19,68
Progressive Passing Distance,303.07,46
Passes Completed (Short),14.28,67
Passes Attempted (Short),15.49,64
Pass Completion % (Short),92.2,81
Passes Completed (Medium),25.17,69
Passes Attempted (Medium),27.89,72
Pass Completion % (Medium),90.2,53
Passes Completed (Long),5.76,62
Passes Attempted (Long),9.52,61
Pass Completion % (Long),60.4,57
Assists,0.00,29
xAG,0.02,41
Expected Assists,0.02,33
Key Passes,0.37,81
Passes into Final Third,3.40,77
Passes into Penalty Area,0.42,89
Crosses into Penalty Area,0.21,96
Progressive Passes,3.40,71
Passes Attempted,55.31,72
Live-ball passes,52.53,72
Dead-ball passes,2.46,61
Passes from Free Kicks,1.31,44
Through Balls,0.00,29
Switches,0.99,90
Crosses,0.31,78
Throw-Ins taken,0.00,3
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,46.47,74
Passes Offside,0.31,2
Passes Blocked,0.37,40
Shot-Creating Actions,0.63,40
SCA (PassLive),0.58,49
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.00,13
SCA (Fld),0.00,37
SCA (Def),0.05,86
Goal-Creating Actions,0.10,73
GCA (PassLive),0.10,83
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.00,36
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,1.88,84
Tackles Won,1.31,92
Tackles (Def 3rd),1.20,80
Tackles (Mid 3rd),0.58,83
Tackles (Att 3rd),0.10,85
Dribblers Tackled,0.78,67
Dribbles Challenged,1.41,78
% of dribblers tackled,55.6,24
Challenges Lost,0.63,17
Blocks,0.99,28
Shots Blocked,0.52,21
Passes Blocked,0.47,59
Interceptions,1.26,39
Tkl+Int,3.14,73
Clearances,3.30,19
Errors,0.00,75
Touches,64.94,71
Touches (Def Pen),7.17,40
Touches (Def 3rd),29.83,42
Touches (Mid 3rd),32.65,83
Touches (Att 3rd),2.62,58
Touches (Att Pen),0.73,39
Touches (Live-Ball),64.94,71
Take-Ons Attempted,0.58,83
Successful Take-Ons,0.52,92
Successful Take-On %,90.9,85
Times Tackled During Take-On,0.05,36
Tackled During Take-On Percentage,9.1,78
Carries,39.45,80
Total Carrying Distance,211.76,83
Progressive Carrying Distance,120.45,80
Progressive Carries,0.68,64
Carries into Final Third,0.68,83
Carries into Penalty Area,0.00,25
Miscontrols,0.47,41
Dispossessed,0.00,94
Passes Received,44.27,78
Progressive Passes Rec,0.21,55
Yellow Cards,0.37,8
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.88,1
Fouls Drawn,0.42,39
Offsides,0.00,76
Crosses,0.31,78
Interceptions,1.26,39
Tackles Won,1.31,92
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.05,19
Own Goals,0.00,60
Ball Recoveries,3.56,6
Aerials won,2.46,59
Aerials lost,1.73,36
% of Aerials Won,58.8,43
