Non-Penalty Goals,0.00,1
Non-Penalty xG,0.07,2
Shots Total,1.36,15
Assists,0.00,2
xAG,0.26,77
npxG + xAG,0.32,27
Shot-Creating Actions,4.09,59
Passes Attempted,45.85,78
Pass Completion %,69.1,18
Progressive Passes,2.90,32
Progressive Carries,3.75,75
Successful Take-Ons,1.88,73
Touches (Att Pen),2.56,19
Progressive Passes Rec,10.91,96
Tackles,1.88,83
Interceptions,0.34,21
Blocks,1.36,88
Clearances,1.19,95
Aerials won,1.70,94
Goals,0.00,1
Assists,0.00,2
Goals + Assists,0.00,1
Non-Penalty Goals,0.00,1
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.00,98
Red Cards,0.00,59
xG,0.07,1
Non-Penalty xG,0.07,2
xAG,0.26,77
npxG + xAG,0.32,27
Progressive Carries,3.75,75
Progressive Passes,2.90,32
Progressive Passes Rec,10.91,96
Goals,0.00,1
Shots Total,1.36,15
Shots on target,0.17,1
Shots on target %,12.5,1
Goals/Shot,0.00,1
Goals/Shot on target,0.00,1
Average Shot Distance,25.60,1
Shots from free kicks,0.51,96
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.07,1
Non-Penalty xG,0.07,2
npxG/Sh,0.05,2
Goals - xG,-0.07,22
Non-Penalty Goals - npxG,-0.07,20
Passes Completed,31.70,70
Passes Attempted,45.85,78
Pass Completion %,69.1,18
Total Passing Distance,656.08,86
Progressive Passing Distance,150.85,72
Passes Completed (Short),11.93,32
Passes Attempted (Short),15.17,40
Pass Completion % (Short),78.7,7
Passes Completed (Medium),11.93,80
Passes Attempted (Medium),15.51,82
Pass Completion % (Medium),76.9,52
Passes Completed (Long),6.82,98
Passes Attempted (Long),12.27,96
Pass Completion % (Long),55.6,73
Assists,0.00,2
xAG,0.26,77
Expected Assists,0.29,85
Key Passes,2.39,79
Passes into Final Third,1.53,27
Passes into Penalty Area,2.05,83
Crosses into Penalty Area,1.36,99
Progressive Passes,2.90,32
Passes Attempted,45.85,78
Live-ball passes,39.55,74
Dead-ball passes,6.31,80
Passes from Free Kicks,1.19,70
Through Balls,0.00,2
Switches,1.36,99
Crosses,9.38,97
Throw-Ins taken,0.68,58
Corner Kicks,4.43,93
Inswinging Corner Kicks,2.73,98
Outswinging Corner Kicks,1.36,88
Straight Corner Kicks,0.00,38
Passes Completed,31.70,70
Passes Offside,0.00,97
Passes Blocked,1.02,52
Shot-Creating Actions,4.09,59
SCA (PassLive),2.56,48
SCA (PassDead),1.19,87
SCA (TO),0.17,33
SCA (Sh),0.00,1
SCA (Fld),0.17,45
SCA (Def),0.00,20
Goal-Creating Actions,0.00,1
GCA (PassLive),0.00,1
GCA (PassDead),0.00,29
GCA (TO),0.00,25
GCA (Sh),0.00,21
GCA (Fld),0.00,27
GCA (Def),0.00,46
Tackles,1.88,83
Tackles Won,1.36,95
Tackles (Def 3rd),0.51,58
Tackles (Mid 3rd),0.85,83
Tackles (Att 3rd),0.51,91
Dribblers Tackled,1.02,95
Dribbles Challenged,1.88,79
% of dribblers tackled,54.5,95
Challenges Lost,0.85,49
Blocks,1.36,88
Shots Blocked,0.17,84
Passes Blocked,1.19,86
Interceptions,0.34,21
Tkl+Int,2.22,70
Clearances,1.19,95
Errors,0.00,54
Touches,57.95,79
Touches (Def Pen),1.70,97
Touches (Def 3rd),6.14,70
Touches (Mid 3rd),20.80,55
Touches (Att 3rd),31.53,89
Touches (Att Pen),2.56,19
Touches (Live-Ball),57.95,79
Take-Ons Attempted,3.75,67
Successful Take-Ons,1.88,73
Successful Take-On %,50.0,66
Times Tackled During Take-On,1.70,62
Tackled During Take-On Percentage,45.5,56
Carries,31.70,58
Total Carrying Distance,235.06,80
Progressive Carrying Distance,99.20,65
Progressive Carries,3.75,75
Carries into Final Third,2.39,63
Carries into Penalty Area,1.02,61
Miscontrols,2.73,30
Dispossessed,1.02,75
Passes Received,38.69,67
Progressive Passes Rec,10.91,96
Yellow Cards,0.00,98
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,2.05,1
Fouls Drawn,1.02,19
Offsides,0.00,98
Crosses,9.38,97
Interceptions,0.34,21
Tackles Won,1.36,95
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,4.26,39
Aerials won,1.70,94
Aerials lost,0.51,91
% of Aerials Won,76.9,99
