PSxG-GA,0.47,98
Goals Against,0.89,90
Save Percentage,84.4,98
PSxG/SoT,0.25,20
Save% (Penalty Kicks),20.0,59
Clean Sheet Percentage,33.3,70
Touches,36.06,64
Launch %,32.4,23
Goal Kicks,7.44,30
Avg. Length of Goal Kicks,40.2,30
Crosses Stopped %,3.1,10
Def. Actions Outside Pen. Area,1.00,58
Avg. Distance of Def. Actions,13.2,42
Goals Against,0.89,90
Shots on Target Against,4.28,51
Saves,3.28,72
Save Percentage,84.4,98
Wins,0.50,80
Draws,0.22,32
Losses,0.28,31
Clean Sheets,0.33,72
Clean Sheet Percentage,33.3,70
Penalty Kicks Attempted,0.28,93
Penalty Kicks Allowed,0.22,6
Penalty Kicks Saved,0.06,80
Penalty Kicks Missed,0.00,39
Save% (Penalty Kicks),20.0,59
Goals Against,0.89,90
Penalty Kicks Allowed,0.22,6
Free Kick Goals Against,0.00,76
Corner Kick Goals Against,0.00,99
Own Goals Scored Against Goalkeeper,0.00,77
Post-Shot Expected Goals,1.36,44
PSxG/SoT,0.25,20
PSxG-GA,0.47,98
Passes Completed (Launched),4.44,38
Passes Attempted (Launched),11.83,30
Pass Completion Percentage (Launched),37.6,57
Passes Attempted,25.56,60
Throws Attempted,3.61,21
Launch %,32.4,23
Average Pass Length,31.9,19
Goal Kicks,7.44,30
Launch% (Goal Kicks),47.8,31
Avg. Length of Goal Kicks,40.2,30
Crosses Faced,14.39,45
Crosses Stopped,0.44,12
Crosses Stopped %,3.1,10
Def. Actions Outside Pen. Area,1.00,58
Avg. Distance of Def. Actions,13.2,42
