Non-Penalty Goals,0.16,90
Non-Penalty xG,0.17,94
Shots Total,1.69,87
Assists,0.16,83
xAG,0.20,94
npxG + xAG,0.36,96
Shot-Creating Actions,4.22,94
Passes Attempted,54.28,74
Pass Completion %,73.9,13
Progressive Passes,5.38,60
Progressive Carries,1.53,68
Successful Take-Ons,1.21,87
Touches (Att Pen),2.32,90
Progressive Passes Rec,3.64,86
Tackles,1.48,18
Interceptions,0.32,1
Blocks,1.06,46
Clearances,0.84,31
Aerials won,0.74,39
Goals,0.16,88
Assists,0.16,83
Goals + Assists,0.32,87
Non-Penalty Goals,0.16,90
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.11,85
Red Cards,0.00,62
xG,0.17,91
Non-Penalty xG,0.17,94
xAG,0.20,94
npxG + xAG,0.36,96
Progressive Carries,1.53,68
Progressive Passes,5.38,60
Progressive Passes Rec,3.64,86
Goals,0.16,88
Shots Total,1.69,87
Shots on target,0.47,81
Shots on target %,28.1,57
Goals/Shot,0.09,72
Goals/Shot on target,0.33,73
Average Shot Distance,20.00,68
Shots from free kicks,0.16,87
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.17,91
Non-Penalty xG,0.17,94
npxG/Sh,0.10,85
Goals - xG,-0.01,49
Non-Penalty Goals - npxG,-0.01,49
Passes Completed,40.09,58
Passes Attempted,54.28,74
Pass Completion %,73.9,13
Total Passing Distance,715.09,56
Progressive Passing Distance,243.31,70
Passes Completed (Short),18.25,62
Passes Attempted (Short),20.94,65
Pass Completion % (Short),87.2,42
Passes Completed (Medium),15.19,46
Passes Attempted (Medium),18.68,53
Pass Completion % (Medium),81.4,21
Passes Completed (Long),5.06,73
Passes Attempted (Long),10.50,89
Pass Completion % (Long),48.2,10
Assists,0.16,83
xAG,0.20,94
Expected Assists,0.19,93
Key Passes,2.22,96
Passes into Final Third,4.22,51
Passes into Penalty Area,1.21,87
Crosses into Penalty Area,0.21,77
Progressive Passes,5.38,60
Passes Attempted,54.28,74
Live-ball passes,47.32,63
Dead-ball passes,6.70,92
Passes from Free Kicks,1.69,69
Through Balls,0.32,92
Switches,0.79,81
Crosses,6.49,99
Throw-Ins taken,0.26,55
Corner Kicks,4.48,99
Inswinging Corner Kicks,1.90,98
Outswinging Corner Kicks,2.32,99
Straight Corner Kicks,0.00,42
Passes Completed,40.09,58
Passes Offside,0.26,16
Passes Blocked,1.42,2
Shot-Creating Actions,4.22,94
SCA (PassLive),2.43,86
SCA (PassDead),1.32,97
SCA (TO),0.11,73
SCA (Sh),0.21,87
SCA (Fld),0.16,81
SCA (Def),0.00,15
Goal-Creating Actions,0.32,77
GCA (PassLive),0.21,72
GCA (PassDead),0.05,84
GCA (TO),0.00,42
GCA (Sh),0.05,90
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.48,18
Tackles Won,0.90,26
Tackles (Def 3rd),0.58,24
Tackles (Mid 3rd),0.79,33
Tackles (Att 3rd),0.11,16
Dribblers Tackled,0.69,28
Dribbles Challenged,1.48,21
% of dribblers tackled,46.4,52
Challenges Lost,0.79,76
Blocks,1.06,46
Shots Blocked,0.11,13
Passes Blocked,0.95,65
Interceptions,0.32,1
Tkl+Int,1.79,5
Clearances,0.84,31
Errors,0.05,14
Touches,64.94,76
Touches (Def Pen),1.85,41
Touches (Def 3rd),11.92,49
Touches (Mid 3rd),29.54,30
Touches (Att 3rd),24.11,96
Touches (Att Pen),2.32,90
Touches (Live-Ball),64.94,76
Take-Ons Attempted,2.69,92
Successful Take-Ons,1.21,87
Successful Take-On %,45.1,27
Times Tackled During Take-On,1.27,95
Tackled During Take-On Percentage,47.1,27
Carries,37.09,78
Total Carrying Distance,203.11,83
Progressive Carrying Distance,88.79,76
Progressive Carries,1.53,68
Carries into Final Third,1.00,42
Carries into Penalty Area,0.32,85
Miscontrols,2.11,10
Dispossessed,1.16,15
Passes Received,43.00,75
Progressive Passes Rec,3.64,86
Yellow Cards,0.11,85
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,0.84,83
Fouls Drawn,0.84,38
Offsides,0.16,7
Crosses,6.49,99
Interceptions,0.32,1
Tackles Won,0.90,26
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,6.54,57
Aerials won,0.74,39
Aerials lost,1.00,48
% of Aerials Won,42.4,32
