Non-Penalty Goals,0.00,16
Non-Penalty xG,0.00,1
Shots Total,0.00,1
Assists,0.00,13
xAG,0.02,3
npxG + xAG,0.02,1
Shot-Creating Actions,1.74,25
Passes Attempted,66.27,92
Pass Completion %,88.1,92
Progressive Passes,5.22,58
Progressive Carries,0.32,4
Successful Take-Ons,0.16,3
Touches (Att Pen),0.16,3
Progressive Passes Rec,1.42,45
Tackles,2.06,52
Interceptions,1.42,78
Blocks,1.11,54
Clearances,1.74,86
Aerials won,0.63,29
Goals,0.00,16
Assists,0.00,13
Goals + Assists,0.00,7
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.63,1
Red Cards,0.00,62
xG,0.00,1
Non-Penalty xG,0.00,1
xAG,0.02,3
npxG + xAG,0.02,1
Progressive Carries,0.32,4
Progressive Passes,5.22,58
Progressive Passes Rec,1.42,45
Goals,0.00,16
Shots Total,0.00,1
Shots on target,0.00,2
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.00,1
Non-Penalty xG,0.00,1
Goals - xG,0.00,61
Non-Penalty Goals - npxG,0.00,61
Passes Completed,58.37,93
Passes Attempted,66.27,92
Pass Completion %,88.1,92
Total Passing Distance,1071.93,95
Progressive Passing Distance,248.33,72
Passes Completed (Short),24.04,88
Passes Attempted (Short),27.68,90
Pass Completion % (Short),86.9,39
Passes Completed (Medium),27.21,98
Passes Attempted (Medium),28.95,96
Pass Completion % (Medium),94.0,98
Passes Completed (Long),6.17,85
Passes Attempted (Long),7.12,61
Pass Completion % (Long),86.7,99
Assists,0.00,13
xAG,0.02,3
Expected Assists,0.03,9
Key Passes,0.63,30
Passes into Final Third,5.54,81
Passes into Penalty Area,0.16,2
Crosses into Penalty Area,0.00,7
Progressive Passes,5.22,58
Passes Attempted,66.27,92
Live-ball passes,63.59,93
Dead-ball passes,2.53,62
Passes from Free Kicks,2.53,87
Through Balls,0.00,6
Switches,0.63,71
Crosses,0.00,1
Throw-Ins taken,0.00,3
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,58.37,93
Passes Offside,0.16,46
Passes Blocked,0.79,46
Shot-Creating Actions,1.74,25
SCA (PassLive),1.42,31
SCA (PassDead),0.00,16
SCA (TO),0.16,86
SCA (Sh),0.00,8
SCA (Fld),0.00,10
SCA (Def),0.16,96
Goal-Creating Actions,0.32,77
GCA (PassLive),0.32,88
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,2.06,52
Tackles Won,1.74,90
Tackles (Def 3rd),0.95,64
Tackles (Mid 3rd),0.95,51
Tackles (Att 3rd),0.16,34
Dribblers Tackled,1.27,81
Dribbles Challenged,3.48,98
% of dribblers tackled,36.4,20
Challenges Lost,2.21,1
Blocks,1.11,54
Shots Blocked,0.16,24
Passes Blocked,0.95,65
Interceptions,1.42,78
Tkl+Int,3.48,63
Clearances,1.74,86
Errors,0.00,67
Touches,72.92,88
Touches (Def Pen),1.42,26
Touches (Def 3rd),13.13,60
Touches (Mid 3rd),51.25,97
Touches (Att 3rd),8.86,29
Touches (Att Pen),0.16,3
Touches (Live-Ball),72.92,88
Take-Ons Attempted,0.16,1
Successful Take-Ons,0.16,3
Successful Take-On %,100.0,99
Times Tackled During Take-On,0.00,1
Tackled During Take-On Percentage,0.0,99
Carries,46.34,94
Total Carrying Distance,150.42,51
Progressive Carrying Distance,66.43,46
Progressive Carries,0.32,4
Carries into Final Third,0.63,16
Carries into Penalty Area,0.32,85
Miscontrols,1.11,58
Dispossessed,1.27,11
Passes Received,52.04,92
Progressive Passes Rec,1.42,45
Yellow Cards,0.63,1
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,1.74,21
Fouls Drawn,0.16,1
Offsides,0.00,75
Crosses,0.00,1
Interceptions,1.42,78
Tackles Won,1.74,90
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,7.43,79
Aerials won,0.63,29
Aerials lost,0.79,66
% of Aerials Won,44.4,39
