Non-Penalty Goals,0.13,83
Non-Penalty xG,0.28,98
Shots Total,2.66,98
Assists,0.00,13
xAG,0.03,14
npxG + xAG,0.30,92
Shot-Creating Actions,2.54,62
Passes Attempted,38.92,20
Pass Completion %,73.6,13
Progressive Passes,3.30,11
Progressive Carries,0.89,37
Successful Take-Ons,0.38,22
Touches (Att Pen),3.68,99
Progressive Passes Rec,4.69,92
Tackles,2.03,50
Interceptions,0.38,2
Blocks,1.01,39
Clearances,0.63,17
Aerials won,1.65,88
Goals,0.13,80
Assists,0.00,13
Goals + Assists,0.13,48
Non-Penalty Goals,0.13,83
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.13,79
Red Cards,0.00,62
xG,0.28,98
Non-Penalty xG,0.28,98
xAG,0.03,14
npxG + xAG,0.30,92
Progressive Carries,0.89,37
Progressive Passes,3.30,11
Progressive Passes Rec,4.69,92
Goals,0.13,80
Shots Total,2.66,98
Shots on target,0.89,98
Shots on target %,33.3,73
Goals/Shot,0.05,46
Goals/Shot on target,0.14,37
Average Shot Distance,13.90,98
Shots from free kicks,0.13,84
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.28,98
Non-Penalty xG,0.28,98
npxG/Sh,0.10,85
Goals - xG,-0.15,1
Non-Penalty Goals - npxG,-0.15,1
Passes Completed,28.65,17
Passes Attempted,38.92,20
Pass Completion %,73.6,13
Total Passing Distance,467.49,15
Progressive Passing Distance,135.38,15
Passes Completed (Short),13.82,23
Passes Attempted (Short),17.87,37
Pass Completion % (Short),77.3,1
Passes Completed (Medium),10.65,15
Passes Attempted (Medium),13.69,17
Pass Completion % (Medium),77.8,11
Passes Completed (Long),2.66,18
Passes Attempted (Long),3.17,5
Pass Completion % (Long),84.0,98
Assists,0.00,13
xAG,0.03,14
Expected Assists,0.05,31
Key Passes,0.89,52
Passes into Final Third,2.79,15
Passes into Penalty Area,0.63,53
Crosses into Penalty Area,0.13,62
Progressive Passes,3.30,11
Passes Attempted,38.92,20
Live-ball passes,37.77,25
Dead-ball passes,0.89,13
Passes from Free Kicks,0.76,28
Through Balls,0.13,63
Switches,0.25,25
Crosses,0.89,53
Throw-Ins taken,0.00,3
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,28.65,17
Passes Offside,0.25,19
Passes Blocked,1.39,3
Shot-Creating Actions,2.54,62
SCA (PassLive),2.03,69
SCA (PassDead),0.13,61
SCA (TO),0.13,81
SCA (Sh),0.13,66
SCA (Fld),0.13,72
SCA (Def),0.00,15
Goal-Creating Actions,0.00,2
GCA (PassLive),0.00,4
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,2.03,50
Tackles Won,1.39,70
Tackles (Def 3rd),0.25,1
Tackles (Mid 3rd),1.27,77
Tackles (Att 3rd),0.51,97
Dribblers Tackled,0.76,34
Dribbles Challenged,2.41,71
% of dribblers tackled,31.6,7
Challenges Lost,1.65,10
Blocks,1.01,39
Shots Blocked,0.00,1
Passes Blocked,1.01,73
Interceptions,0.38,2
Tkl+Int,2.41,21
Clearances,0.63,17
Errors,0.00,67
Touches,50.45,25
Touches (Def Pen),0.89,7
Touches (Def 3rd),6.97,7
Touches (Mid 3rd),25.35,17
Touches (Att 3rd),18.38,84
Touches (Att Pen),3.68,99
Touches (Live-Ball),50.45,25
Take-Ons Attempted,1.14,46
Successful Take-Ons,0.38,22
Successful Take-On %,33.3,6
Times Tackled During Take-On,0.63,67
Tackled During Take-On Percentage,55.6,9
Carries,28.90,43
Total Carrying Distance,139.18,40
Progressive Carrying Distance,46.14,14
Progressive Carries,0.89,37
Carries into Final Third,1.01,43
Carries into Penalty Area,0.38,88
Miscontrols,2.15,9
Dispossessed,0.51,79
Passes Received,38.15,57
Progressive Passes Rec,4.69,92
Yellow Cards,0.13,79
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,1.65,27
Fouls Drawn,0.89,43
Offsides,0.00,75
Crosses,0.89,53
Interceptions,0.38,2
Tackles Won,1.39,70
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,4.31,3
Aerials won,1.65,88
Aerials lost,1.65,8
% of Aerials Won,50.0,58
