Non-Penalty Goals,0.00,16
Non-Penalty xG,0.06,51
Shots Total,1.00,52
Assists,0.26,96
xAG,0.20,95
npxG + xAG,0.26,85
Shot-Creating Actions,3.05,77
Passes Attempted,44.59,41
Pass Completion %,78.6,32
Progressive Passes,5.58,66
Progressive Carries,1.44,64
Successful Take-Ons,0.74,58
Touches (Att Pen),2.36,90
Progressive Passes Rec,5.24,94
Tackles,1.13,7
Interceptions,0.79,22
Blocks,0.52,3
Clearances,0.52,11
Aerials won,1.40,82
Goals,0.00,16
Assists,0.26,96
Goals + Assists,0.26,81
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.22,54
Red Cards,0.04,11
xG,0.06,49
Non-Penalty xG,0.06,51
xAG,0.20,95
npxG + xAG,0.26,85
Progressive Carries,1.44,64
Progressive Passes,5.58,66
Progressive Passes Rec,5.24,94
Goals,0.00,16
Shots Total,1.00,52
Shots on target,0.17,37
Shots on target %,17.4,23
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,18.90,76
Shots from free kicks,0.04,72
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.06,49
Non-Penalty xG,0.06,51
npxG/Sh,0.06,45
Goals - xG,-0.06,10
Non-Penalty Goals - npxG,-0.06,9
Passes Completed,35.03,38
Passes Attempted,44.59,41
Pass Completion %,78.6,32
Total Passing Distance,597.54,35
Progressive Passing Distance,169.40,32
Passes Completed (Short),17.54,56
Passes Attempted (Short),20.50,62
Pass Completion % (Short),85.5,27
Passes Completed (Medium),13.35,29
Passes Attempted (Medium),15.97,31
Pass Completion % (Medium),83.6,31
Passes Completed (Long),3.40,37
Passes Attempted (Long),5.41,38
Pass Completion % (Long),62.9,47
Assists,0.26,96
xAG,0.20,95
Expected Assists,0.22,95
Key Passes,2.01,93
Passes into Final Third,3.75,40
Passes into Penalty Area,1.53,94
Crosses into Penalty Area,0.57,98
Progressive Passes,5.58,66
Passes Attempted,44.59,41
Live-ball passes,42.36,42
Dead-ball passes,2.01,52
Passes from Free Kicks,0.83,33
Through Balls,0.26,87
Switches,0.52,63
Crosses,2.79,79
Throw-Ins taken,0.22,47
Corner Kicks,0.96,73
Inswinging Corner Kicks,0.26,70
Outswinging Corner Kicks,0.70,87
Straight Corner Kicks,0.00,42
Passes Completed,35.03,38
Passes Offside,0.22,27
Passes Blocked,0.92,27
Shot-Creating Actions,3.05,77
SCA (PassLive),2.57,89
SCA (PassDead),0.31,71
SCA (TO),0.04,48
SCA (Sh),0.04,26
SCA (Fld),0.09,59
SCA (Def),0.00,15
Goal-Creating Actions,0.22,57
GCA (PassLive),0.22,75
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.13,7
Tackles Won,0.57,4
Tackles (Def 3rd),0.44,9
Tackles (Mid 3rd),0.52,9
Tackles (Att 3rd),0.17,40
Dribblers Tackled,0.35,2
Dribbles Challenged,1.09,5
% of dribblers tackled,32.0,9
Challenges Lost,0.74,83
Blocks,0.52,3
Shots Blocked,0.09,9
Passes Blocked,0.44,6
Interceptions,0.79,22
Tkl+Int,1.92,9
Clearances,0.52,11
Errors,0.00,67
Touches,52.57,32
Touches (Def Pen),0.96,9
Touches (Def 3rd),6.98,7
Touches (Mid 3rd),27.09,20
Touches (Att 3rd),19.02,87
Touches (Att Pen),2.36,90
Touches (Live-Ball),52.57,32
Take-Ons Attempted,1.70,73
Successful Take-Ons,0.74,58
Successful Take-On %,43.6,22
Times Tackled During Take-On,0.87,83
Tackled During Take-On Percentage,51.3,17
Carries,32.46,58
Total Carrying Distance,145.14,46
Progressive Carrying Distance,67.66,47
Progressive Carries,1.44,64
Carries into Final Third,1.35,65
Carries into Penalty Area,0.17,64
Miscontrols,1.18,54
Dispossessed,0.87,37
Passes Received,38.17,57
Progressive Passes Rec,5.24,94
Yellow Cards,0.22,54
Red Cards,0.04,11
Second Yellow Card,0.04,6
Fouls Committed,1.53,35
Fouls Drawn,1.22,63
Offsides,0.13,9
Crosses,2.79,79
Interceptions,0.79,22
Tackles Won,0.57,4
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,5.10,14
Aerials won,1.40,82
Aerials lost,0.96,52
% of Aerials Won,59.3,85
