PSxG-GA,0.04,49
Goals Against,1.04,74
Save Percentage,72.3,51
PSxG/SoT,0.31,80
Save% (Penalty Kicks),0.0,26
Clean Sheet Percentage,22.2,30
Touches,39.43,81
Launch %,40.4,53
Goal Kicks,5.90,6
Avg. Length of Goal Kicks,45.8,63
Crosses Stopped %,6.0,60
Def. Actions Outside Pen. Area,1.37,87
Avg. Distance of Def. Actions,15.7,83
Goals Against,1.04,74
Shots on Target Against,3.55,25
Saves,2.51,28
Save Percentage,72.3,51
Wins,0.27,24
Draws,0.49,98
Losses,0.27,29
Clean Sheets,0.22,31
Clean Sheet Percentage,22.2,30
Penalty Kicks Attempted,0.05,15
Penalty Kicks Allowed,0.05,72
Penalty Kicks Saved,0.00,26
Penalty Kicks Missed,0.00,39
Save% (Penalty Kicks),0.0,26
Goals Against,1.04,74
Penalty Kicks Allowed,0.05,72
Free Kick Goals Against,0.00,76
Corner Kick Goals Against,0.22,24
Own Goals Scored Against Goalkeeper,0.00,77
Post-Shot Expected Goals,1.05,76
PSxG/SoT,0.31,80
PSxG-GA,0.04,49
Passes Completed (Launched),5.95,73
Passes Attempted (Launched),15.89,72
Pass Completion Percentage (Launched),37.5,55
Passes Attempted,30.86,90
Throws Attempted,4.48,53
Launch %,40.4,53
Average Pass Length,37.0,61
Goal Kicks,5.90,6
Launch% (Goal Kicks),52.8,46
Avg. Length of Goal Kicks,45.8,63
Crosses Faced,13.71,34
Crosses Stopped,0.82,53
Crosses Stopped %,6.0,60
Def. Actions Outside Pen. Area,1.37,87
Avg. Distance of Def. Actions,15.7,83
