Non-Penalty Goals,0.54,84
Non-Penalty xG,0.37,63
Shots Total,3.13,78
Assists,0.06,31
xAG,0.10,40
npxG + xAG,0.47,54
Shot-Creating Actions,2.30,48
Passes Attempted,20.76,51
Pass Completion %,64.3,27
Progressive Passes,1.31,27
Progressive Carries,1.31,57
Successful Take-Ons,0.89,66
Touches (Att Pen),6.74,95
Progressive Passes Rec,6.16,61
Tackles,0.64,53
Interceptions,0.16,40
Blocks,0.57,48
Clearances,1.53,94
Aerials won,3.67,80
Goals,0.57,80
Assists,0.06,31
Goals + Assists,0.64,69
Non-Penalty Goals,0.54,84
Penalty Kicks Made,0.03,51
Penalty Kicks Attempted,0.06,62
Yellow Cards,0.16,44
Red Cards,0.00,58
xG,0.42,59
Non-Penalty xG,0.37,63
xAG,0.10,40
npxG + xAG,0.47,54
Progressive Carries,1.31,57
Progressive Passes,1.31,27
Progressive Passes Rec,6.16,61
Goals,0.57,80
Shots Total,3.13,78
Shots on target,1.21,70
Shots on target %,38.8,49
Goals/Shot,0.17,77
Goals/Shot on target,0.45,77
Average Shot Distance,13.00,81
Shots from free kicks,0.00,32
Penalty Kicks Made,0.03,51
Penalty Kicks Attempted,0.06,62
xG,0.42,59
Non-Penalty xG,0.37,63
npxG/Sh,0.12,32
Goals - xG,0.15,91
Non-Penalty Goals - npxG,0.17,92
Passes Completed,13.35,39
Passes Attempted,20.76,51
Pass Completion %,64.3,27
Total Passing Distance,168.79,26
Progressive Passing Distance,32.51,32
Passes Completed (Short),8.78,61
Passes Attempted (Short),11.75,67
Pass Completion % (Short),74.7,35
Passes Completed (Medium),3.23,25
Passes Attempted (Medium),5.62,42
Pass Completion % (Medium),57.4,10
Passes Completed (Long),0.38,17
Passes Attempted (Long),0.77,16
Pass Completion % (Long),50.0,29
Assists,0.06,31
xAG,0.10,40
Expected Assists,0.05,22
Key Passes,0.89,37
Passes into Final Third,0.61,19
Passes into Penalty Area,0.61,62
Crosses into Penalty Area,0.10,71
Progressive Passes,1.31,27
Passes Attempted,20.76,51
Live-ball passes,18.65,44
Dead-ball passes,1.95,72
Passes from Free Kicks,0.00,25
Through Balls,0.03,22
Switches,0.06,40
Crosses,1.21,87
Throw-Ins taken,0.10,45
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,46
Straight Corner Kicks,0.00,49
Passes Completed,13.35,39
Passes Offside,0.16,33
Passes Blocked,0.86,29
Shot-Creating Actions,2.30,48
SCA (PassLive),1.41,27
SCA (PassDead),0.00,34
SCA (TO),0.16,52
SCA (Sh),0.35,70
SCA (Fld),0.35,84
SCA (Def),0.03,49
Goal-Creating Actions,0.13,12
GCA (PassLive),0.06,13
GCA (PassDead),0.00,48
GCA (TO),0.03,58
GCA (Sh),0.03,41
GCA (Fld),0.00,27
GCA (Def),0.00,47
Tackles,0.64,53
Tackles Won,0.38,61
Tackles (Def 3rd),0.03,12
Tackles (Mid 3rd),0.29,52
Tackles (Att 3rd),0.32,83
Dribblers Tackled,0.26,65
Dribbles Challenged,0.61,46
% of dribblers tackled,42.1,76
Challenges Lost,0.35,65
Blocks,0.57,48
Shots Blocked,0.06,35
Passes Blocked,0.51,54
Interceptions,0.16,40
Tkl+Int,0.80,49
Clearances,1.53,94
Errors,0.00,51
Touches,32.86,55
Touches (Def Pen),1.66,94
Touches (Def 3rd),2.40,54
Touches (Mid 3rd),13.03,39
Touches (Att 3rd),17.85,74
Touches (Att Pen),6.74,95
Touches (Live-Ball),32.80,57
Take-Ons Attempted,1.82,57
Successful Take-Ons,0.89,66
Successful Take-On %,49.1,72
Times Tackled During Take-On,0.83,50
Tackled During Take-On Percentage,45.6,71
Carries,17.09,48
Total Carrying Distance,87.22,52
Progressive Carrying Distance,32.48,52
Progressive Carries,1.31,57
Carries into Final Third,0.67,30
Carries into Penalty Area,0.64,56
Miscontrols,3.03,30
Dispossessed,1.28,47
Passes Received,24.50,60
Progressive Passes Rec,6.16,61
Yellow Cards,0.16,44
Red Cards,0.00,58
Second Yellow Card,0.00,53
Fouls Committed,1.37,42
Fouls Drawn,2.24,91
Offsides,0.89,11
Crosses,1.21,87
Interceptions,0.16,40
Tackles Won,0.38,61
Penalty Kicks Won,0.00,28
Penalty Kicks Conceded,0.03,1
Own Goals,0.00,51
Ball Recoveries,2.24,40
Aerials won,3.67,80
Aerials lost,3.39,40
% of Aerials Won,52.0,86
