Non-Penalty Goals,0.40,56
Non-Penalty xG,0.31,36
Shots Total,2.83,61
Assists,0.09,43
xAG,0.13,64
npxG + xAG,0.45,47
Shot-Creating Actions,2.70,70
Passes Attempted,33.76,98
Pass Completion %,83.8,99
Progressive Passes,3.00,92
Progressive Carries,1.59,70
Successful Take-Ons,1.15,83
Touches (Att Pen),3.58,12
Progressive Passes Rec,5.43,47
Tackles,0.75,68
Interceptions,0.31,76
Blocks,1.02,90
Clearances,0.49,22
Aerials won,0.84,14
Goals,0.49,63
Assists,0.09,43
Goals + Assists,0.57,55
Non-Penalty Goals,0.40,56
Penalty Kicks Made,0.09,78
Penalty Kicks Attempted,0.13,85
Yellow Cards,0.40,5
Red Cards,0.00,58
xG,0.42,58
Non-Penalty xG,0.31,36
xAG,0.13,64
npxG + xAG,0.45,47
Progressive Carries,1.59,70
Progressive Passes,3.00,92
Progressive Passes Rec,5.43,47
Goals,0.49,63
Shots Total,2.83,61
Shots on target,1.19,67
Shots on target %,42.2,70
Goals/Shot,0.14,52
Goals/Shot on target,0.33,38
Average Shot Distance,17.80,11
Shots from free kicks,0.09,83
Penalty Kicks Made,0.09,78
Penalty Kicks Attempted,0.13,85
xG,0.42,58
Non-Penalty xG,0.31,36
npxG/Sh,0.11,20
Goals - xG,0.07,67
Non-Penalty Goals - npxG,0.08,74
Passes Completed,28.28,99
Passes Attempted,33.76,98
Pass Completion %,83.8,99
Total Passing Distance,477.70,99
Progressive Passing Distance,71.13,92
Passes Completed (Short),13.74,98
Passes Attempted (Short),15.60,96
Pass Completion % (Short),88.1,98
Passes Completed (Medium),10.03,99
Passes Attempted (Medium),11.13,98
Pass Completion % (Medium),90.1,99
Passes Completed (Long),3.05,98
Passes Attempted (Long),4.02,96
Pass Completion % (Long),75.8,95
Assists,0.09,43
xAG,0.13,64
Expected Assists,0.11,70
Key Passes,0.93,44
Passes into Final Third,2.39,98
Passes into Penalty Area,0.66,70
Crosses into Penalty Area,0.00,16
Progressive Passes,3.00,92
Passes Attempted,33.76,98
Live-ball passes,32.61,99
Dead-ball passes,0.93,35
Passes from Free Kicks,0.62,98
Through Balls,0.09,55
Switches,0.75,97
Crosses,0.22,19
Throw-Ins taken,0.22,78
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,46
Straight Corner Kicks,0.00,49
Passes Completed,28.28,99
Passes Offside,0.22,17
Passes Blocked,0.57,61
Shot-Creating Actions,2.70,70
SCA (PassLive),1.90,74
SCA (PassDead),0.13,96
SCA (TO),0.18,57
SCA (Sh),0.40,80
SCA (Fld),0.09,16
SCA (Def),0.00,23
Goal-Creating Actions,0.31,57
GCA (PassLive),0.31,87
GCA (PassDead),0.00,48
GCA (TO),0.00,27
GCA (Sh),0.00,18
GCA (Fld),0.00,27
GCA (Def),0.00,47
Tackles,0.75,68
Tackles Won,0.40,63
Tackles (Def 3rd),0.18,71
Tackles (Mid 3rd),0.44,75
Tackles (Att 3rd),0.13,33
Dribblers Tackled,0.35,86
Dribbles Challenged,1.10,91
% of dribblers tackled,32.0,54
Challenges Lost,0.75,10
Blocks,1.02,90
Shots Blocked,0.18,90
Passes Blocked,0.84,85
Interceptions,0.31,76
Tkl+Int,1.06,72
Clearances,0.49,22
Errors,0.00,51
Touches,42.95,96
Touches (Def Pen),0.62,22
Touches (Def 3rd),3.93,95
Touches (Mid 3rd),22.75,99
Touches (Att 3rd),16.66,61
Touches (Att Pen),3.58,12
Touches (Live-Ball),42.81,96
Take-Ons Attempted,1.63,49
Successful Take-Ons,1.15,83
Successful Take-On %,70.3,98
Times Tackled During Take-On,0.44,15
Tackled During Take-On Percentage,27.0,98
Carries,25.85,95
Total Carrying Distance,140.06,91
Progressive Carrying Distance,58.72,90
Progressive Carries,1.59,70
Carries into Final Third,1.33,87
Carries into Penalty Area,0.18,10
Miscontrols,1.63,93
Dispossessed,0.88,76
Passes Received,34.15,98
Progressive Passes Rec,5.43,47
Yellow Cards,0.40,5
Red Cards,0.00,58
Second Yellow Card,0.00,53
Fouls Committed,1.06,66
Fouls Drawn,1.50,63
Offsides,0.44,64
Crosses,0.22,19
Interceptions,0.31,76
Tackles Won,0.40,63
Penalty Kicks Won,0.04,75
Penalty Kicks Conceded,0.00,51
Own Goals,0.00,51
Ball Recoveries,3.09,85
Aerials won,0.84,14
Aerials lost,0.93,96
% of Aerials Won,47.5,72
