Non-Penalty Goals,0.09,85
Non-Penalty xG,0.06,70
Shots Total,0.18,5
Assists,0.00,29
xAG,0.02,46
npxG + xAG,0.07,50
Shot-Creating Actions,0.64,41
Passes Attempted,48.50,50
Pass Completion %,87.5,86
Progressive Passes,2.63,42
Progressive Carries,0.54,55
Successful Take-Ons,0.09,27
Touches (Att Pen),0.45,10
Progressive Passes Rec,0.00,2
Tackles,1.27,49
Interceptions,0.91,12
Blocks,1.63,93
Clearances,4.90,81
Aerials won,1.91,31
Goals,0.09,84
Assists,0.00,29
Goals + Assists,0.09,69
Non-Penalty Goals,0.09,85
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.45,3
Red Cards,0.00,64
xG,0.06,68
Non-Penalty xG,0.06,70
xAG,0.02,46
npxG + xAG,0.07,50
Progressive Carries,0.54,55
Progressive Passes,2.63,42
Progressive Passes Rec,0.00,2
Goals,0.09,84
Shots Total,0.18,5
Shots on target,0.18,71
Shots on target %,100.0,99
Goals/Shot,0.50,99
Goals/Shot on target,0.50,75
Average Shot Distance,16.60,15
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.06,68
Non-Penalty xG,0.06,70
npxG/Sh,0.33,99
Goals - xG,0.03,83
Non-Penalty Goals - npxG,0.03,84
Passes Completed,42.41,60
Passes Attempted,48.50,50
Pass Completion %,87.5,86
Total Passing Distance,862.49,59
Progressive Passing Distance,304.51,47
Passes Completed (Short),11.62,44
Passes Attempted (Short),12.44,35
Pass Completion % (Short),93.4,91
Passes Completed (Medium),23.98,64
Passes Attempted (Medium),25.88,59
Pass Completion % (Medium),92.6,81
Passes Completed (Long),5.54,58
Passes Attempted (Long),7.99,38
Pass Completion % (Long),69.3,86
Assists,0.00,29
xAG,0.02,46
Expected Assists,0.02,39
Key Passes,0.27,62
Passes into Final Third,2.00,30
Passes into Penalty Area,0.18,60
Crosses into Penalty Area,0.09,82
Progressive Passes,2.63,42
Passes Attempted,48.50,50
Live-ball passes,44.32,42
Dead-ball passes,4.09,88
Passes from Free Kicks,1.45,52
Through Balls,0.00,29
Switches,0.45,53
Crosses,0.09,45
Throw-Ins taken,1.54,81
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,42.41,60
Passes Offside,0.09,56
Passes Blocked,0.45,25
Shot-Creating Actions,0.64,41
SCA (PassLive),0.27,7
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.09,68
SCA (Fld),0.00,37
SCA (Def),0.27,99
Goal-Creating Actions,0.09,65
GCA (PassLive),0.09,76
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.00,36
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,1.27,49
Tackles Won,0.91,65
Tackles (Def 3rd),0.91,55
Tackles (Mid 3rd),0.27,31
Tackles (Att 3rd),0.09,82
Dribblers Tackled,0.73,59
Dribbles Challenged,1.54,83
% of dribblers tackled,47.1,7
Challenges Lost,0.82,4
Blocks,1.63,93
Shots Blocked,0.64,37
Passes Blocked,1.00,99
Interceptions,0.91,12
Tkl+Int,2.18,22
Clearances,4.90,81
Errors,0.00,75
Touches,58.67,48
Touches (Def Pen),7.81,55
Touches (Def 3rd),28.06,31
Touches (Mid 3rd),29.97,76
Touches (Att 3rd),1.09,8
Touches (Att Pen),0.45,10
Touches (Live-Ball),58.67,48
Take-Ons Attempted,0.27,51
Successful Take-Ons,0.09,27
Successful Take-On %,33.3,14
Times Tackled During Take-On,0.09,53
Tackled During Take-On Percentage,33.3,45
Carries,32.15,53
Total Carrying Distance,167.47,61
Progressive Carrying Distance,106.17,68
Progressive Carries,0.54,55
Carries into Final Third,0.09,8
Carries into Penalty Area,0.00,25
Miscontrols,0.36,62
Dispossessed,0.00,94
Passes Received,36.87,57
Progressive Passes Rec,0.00,2
Yellow Cards,0.45,3
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.00,33
Fouls Drawn,0.36,32
Offsides,0.00,76
Crosses,0.09,45
Interceptions,0.91,12
Tackles Won,0.91,65
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.00,71
Own Goals,0.00,60
Ball Recoveries,3.72,8
Aerials won,1.91,31
Aerials lost,1.73,37
% of Aerials Won,52.5,18
