Non-Penalty Goals,0.00,21
Non-Penalty xG,0.03,19
Shots Total,0.36,27
Assists,0.00,29
xAG,0.01,22
npxG + xAG,0.04,13
Shot-Creating Actions,1.45,95
Passes Attempted,57.74,78
Pass Completion %,87.1,83
Progressive Passes,7.15,99
Progressive Carries,2.83,99
Successful Take-Ons,0.44,89
Touches (Att Pen),0.51,14
Progressive Passes Rec,0.40,77
Tackles,0.83,11
Interceptions,0.54,1
Blocks,0.58,3
Clearances,2.47,5
Aerials won,1.45,13
Goals,0.00,21
Assists,0.00,29
Goals + Assists,0.00,14
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.15,68
Red Cards,0.04,19
xG,0.03,18
Non-Penalty xG,0.03,19
xAG,0.01,22
npxG + xAG,0.04,13
Progressive Carries,2.83,99
Progressive Passes,7.15,99
Progressive Passes Rec,0.40,77
Goals,0.00,21
Shots Total,0.36,27
Shots on target,0.00,5
Shots on target %,0.0,5
Goals/Shot,0.00,21
Average Shot Distance,14.60,24
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.03,18
Non-Penalty xG,0.03,19
npxG/Sh,0.07,25
Goals - xG,-0.03,39
Non-Penalty Goals - npxG,-0.03,39
Passes Completed,50.30,81
Passes Attempted,57.74,78
Pass Completion %,87.1,83
Total Passing Distance,1005.35,81
Progressive Passing Distance,377.31,77
Passes Completed (Short),16.88,83
Passes Attempted (Short),18.51,82
Pass Completion % (Short),91.2,71
Passes Completed (Medium),26.13,76
Passes Attempted (Medium),28.34,74
Pass Completion % (Medium),92.2,76
Passes Completed (Long),6.68,79
Passes Attempted (Long),9.25,56
Pass Completion % (Long),72.2,93
Assists,0.00,29
xAG,0.01,22
Expected Assists,0.03,63
Key Passes,0.25,57
Passes into Final Third,8.46,99
Passes into Penalty Area,0.29,78
Crosses into Penalty Area,0.15,92
Progressive Passes,7.15,99
Passes Attempted,57.74,78
Live-ball passes,55.45,78
Dead-ball passes,2.14,50
Passes from Free Kicks,1.49,54
Through Balls,0.00,29
Switches,0.40,44
Crosses,0.33,79
Throw-Ins taken,0.65,69
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,50.30,81
Passes Offside,0.15,33
Passes Blocked,0.36,42
Shot-Creating Actions,1.45,95
SCA (PassLive),1.23,96
SCA (PassDead),0.04,70
SCA (TO),0.00,40
SCA (Sh),0.11,78
SCA (Fld),0.00,37
SCA (Def),0.07,94
Goal-Creating Actions,0.25,98
GCA (PassLive),0.18,96
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.07,98
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,0.83,11
Tackles Won,0.54,20
Tackles (Def 3rd),0.22,1
Tackles (Mid 3rd),0.62,85
Tackles (Att 3rd),0.00,21
Dribblers Tackled,0.47,22
Dribbles Challenged,0.69,15
% of dribblers tackled,68.4,72
Challenges Lost,0.22,83
Blocks,0.58,3
Shots Blocked,0.36,6
Passes Blocked,0.22,15
Interceptions,0.54,1
Tkl+Int,1.38,1
Clearances,2.47,5
Errors,0.07,15
Touches,64.27,68
Touches (Def Pen),3.08,1
Touches (Def 3rd),20.07,2
Touches (Mid 3rd),40.14,93
Touches (Att 3rd),4.43,82
Touches (Att Pen),0.51,14
Touches (Live-Ball),64.27,68
Take-Ons Attempted,0.54,80
Successful Take-Ons,0.44,89
Successful Take-On %,80.0,78
Times Tackled During Take-On,0.04,26
Tackled During Take-On Percentage,6.7,79
Carries,43.33,86
Total Carrying Distance,298.85,97
Progressive Carrying Distance,211.32,98
Progressive Carries,2.83,99
Carries into Final Third,1.63,98
Carries into Penalty Area,0.00,25
Miscontrols,0.40,55
Dispossessed,0.25,20
Passes Received,46.74,84
Progressive Passes Rec,0.40,77
Yellow Cards,0.15,68
Red Cards,0.04,19
Second Yellow Card,0.00,57
Fouls Committed,0.91,47
Fouls Drawn,0.40,37
Offsides,0.00,76
Crosses,0.33,79
Interceptions,0.54,1
Tackles Won,0.54,20
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.04,34
Own Goals,0.00,60
Ball Recoveries,4.28,19
Aerials won,1.45,13
Aerials lost,1.23,71
% of Aerials Won,54.1,23
