Non-Penalty Goals,0.00,21
Non-Penalty xG,0.13,96
Shots Total,0.70,76
Assists,0.00,29
xAG,0.00,3
npxG + xAG,0.13,90
Shot-Creating Actions,0.86,64
Passes Attempted,48.59,51
Pass Completion %,87.9,88
Progressive Passes,2.42,32
Progressive Carries,0.16,13
Successful Take-Ons,0.23,67
Touches (Att Pen),1.17,76
Progressive Passes Rec,0.08,19
Tackles,1.41,60
Interceptions,1.02,18
Blocks,1.33,69
Clearances,5.23,88
Aerials won,1.64,23
Goals,0.00,21
Assists,0.00,29
Goals + Assists,0.00,14
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.31,17
Red Cards,0.00,64
xG,0.13,96
Non-Penalty xG,0.13,96
xAG,0.00,3
npxG + xAG,0.13,90
Progressive Carries,0.16,13
Progressive Passes,2.42,32
Progressive Passes Rec,0.08,19
Goals,0.00,21
Shots Total,0.70,76
Shots on target,0.16,64
Shots on target %,22.2,43
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,10.20,77
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.13,96
Non-Penalty xG,0.13,96
npxG/Sh,0.18,96
Goals - xG,-0.13,1
Non-Penalty Goals - npxG,-0.13,1
Passes Completed,42.73,61
Passes Attempted,48.59,51
Pass Completion %,87.9,88
Total Passing Distance,885.08,62
Progressive Passing Distance,314.30,51
Passes Completed (Short),9.22,18
Passes Attempted (Short),10.39,17
Pass Completion % (Short),88.7,43
Passes Completed (Medium),25.39,72
Passes Attempted (Medium),27.42,68
Pass Completion % (Medium),92.6,81
Passes Completed (Long),6.64,78
Passes Attempted (Long),8.91,52
Pass Completion % (Long),74.6,97
Assists,0.00,29
xAG,0.00,3
Expected Assists,0.01,12
Key Passes,0.08,11
Passes into Final Third,1.72,19
Passes into Penalty Area,0.00,6
Crosses into Penalty Area,0.00,29
Progressive Passes,2.42,32
Passes Attempted,48.59,51
Live-ball passes,43.91,41
Dead-ball passes,4.69,91
Passes from Free Kicks,2.66,94
Through Balls,0.00,29
Switches,0.08,5
Crosses,0.00,10
Throw-Ins taken,0.16,36
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,42.73,61
Passes Offside,0.00,94
Passes Blocked,0.16,89
Shot-Creating Actions,0.86,64
SCA (PassLive),0.55,45
SCA (PassDead),0.08,91
SCA (TO),0.00,40
SCA (Sh),0.08,61
SCA (Fld),0.08,94
SCA (Def),0.08,96
Goal-Creating Actions,0.00,12
GCA (PassLive),0.00,17
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.00,36
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,1.41,60
Tackles Won,1.17,85
Tackles (Def 3rd),1.25,84
Tackles (Mid 3rd),0.16,6
Tackles (Att 3rd),0.00,21
Dribblers Tackled,0.86,75
Dribbles Challenged,1.41,78
% of dribblers tackled,61.1,44
Challenges Lost,0.55,29
Blocks,1.33,69
Shots Blocked,0.70,44
Passes Blocked,0.63,83
Interceptions,1.02,18
Tkl+Int,2.42,33
Clearances,5.23,88
Errors,0.00,75
Touches,59.14,49
Touches (Def Pen),8.83,73
Touches (Def 3rd),30.55,47
Touches (Mid 3rd),27.58,66
Touches (Att 3rd),1.25,13
Touches (Att Pen),1.17,76
Touches (Live-Ball),59.14,49
Take-Ons Attempted,0.31,58
Successful Take-Ons,0.23,67
Successful Take-On %,75.0,71
Times Tackled During Take-On,0.08,51
Tackled During Take-On Percentage,25.0,60
Carries,32.19,54
Total Carrying Distance,139.92,33
Progressive Carrying Distance,62.11,18
Progressive Carries,0.16,13
Carries into Final Third,0.00,1
Carries into Penalty Area,0.00,25
Miscontrols,0.23,85
Dispossessed,0.00,94
Passes Received,34.22,43
Progressive Passes Rec,0.08,19
Yellow Cards,0.31,17
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.09,26
Fouls Drawn,0.70,70
Offsides,0.00,76
Crosses,0.00,10
Interceptions,1.02,18
Tackles Won,1.17,85
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.00,71
Own Goals,0.00,60
Ball Recoveries,4.92,40
Aerials won,1.64,23
Aerials lost,1.95,21
% of Aerials Won,45.7,6
