Non-Penalty Goals,0.00,21
Non-Penalty xG,0.04,38
Shots Total,0.44,39
Assists,0.00,29
xAG,0.07,94
npxG + xAG,0.11,77
Shot-Creating Actions,0.93,74
Passes Attempted,59.73,81
Pass Completion %,88.0,88
Progressive Passes,4.61,89
Progressive Carries,1.37,91
Successful Take-Ons,0.56,94
Touches (Att Pen),0.93,56
Progressive Passes Rec,0.37,74
Tackles,2.43,98
Interceptions,1.37,53
Blocks,1.62,92
Clearances,4.17,57
Aerials won,1.62,22
Goals,0.00,21
Assists,0.00,29
Goals + Assists,0.00,14
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.25,34
Red Cards,0.12,1
xG,0.04,36
Non-Penalty xG,0.04,38
xAG,0.07,94
npxG + xAG,0.11,77
Progressive Carries,1.37,91
Progressive Passes,4.61,89
Progressive Passes Rec,0.37,74
Goals,0.00,21
Shots Total,0.44,39
Shots on target,0.12,50
Shots on target %,28.6,64
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,13.00,39
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.04,36
Non-Penalty xG,0.04,38
npxG/Sh,0.08,37
Goals - xG,-0.04,27
Non-Penalty Goals - npxG,-0.04,26
Passes Completed,52.57,85
Passes Attempted,59.73,81
Pass Completion %,88.0,88
Total Passing Distance,1107.72,89
Progressive Passing Distance,406.65,87
Passes Completed (Short),12.89,54
Passes Attempted (Short),14.70,56
Pass Completion % (Short),87.7,36
Passes Completed (Medium),30.89,91
Passes Attempted (Medium),33.13,91
Pass Completion % (Medium),93.2,87
Passes Completed (Long),8.16,94
Passes Attempted (Long),10.46,74
Pass Completion % (Long),78.0,99
Assists,0.00,29
xAG,0.07,94
Expected Assists,0.07,96
Key Passes,0.56,95
Passes into Final Third,4.92,91
Passes into Penalty Area,0.19,61
Crosses into Penalty Area,0.00,29
Progressive Passes,4.61,89
Passes Attempted,59.73,81
Live-ball passes,56.99,82
Dead-ball passes,2.43,60
Passes from Free Kicks,1.87,74
Through Balls,0.25,99
Switches,0.19,17
Crosses,0.19,66
Throw-Ins taken,0.06,13
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,52.57,85
Passes Offside,0.31,3
Passes Blocked,0.19,83
Shot-Creating Actions,0.93,74
SCA (PassLive),0.75,69
SCA (PassDead),0.00,30
SCA (TO),0.06,95
SCA (Sh),0.06,50
SCA (Fld),0.00,37
SCA (Def),0.06,91
Goal-Creating Actions,0.06,50
GCA (PassLive),0.06,61
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.00,36
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,2.43,98
Tackles Won,1.49,96
Tackles (Def 3rd),1.68,98
Tackles (Mid 3rd),0.69,89
Tackles (Att 3rd),0.06,69
Dribblers Tackled,1.12,91
Dribbles Challenged,1.62,86
% of dribblers tackled,69.2,74
Challenges Lost,0.50,36
Blocks,1.62,92
Shots Blocked,0.87,72
Passes Blocked,0.75,93
Interceptions,1.37,53
Tkl+Int,3.80,91
Clearances,4.17,57
Errors,0.06,20
Touches,70.94,85
Touches (Def Pen),10.03,89
Touches (Def 3rd),37.99,89
Touches (Mid 3rd),31.14,79
Touches (Att 3rd),2.18,48
Touches (Att Pen),0.93,56
Touches (Live-Ball),70.94,85
Take-Ons Attempted,0.87,95
Successful Take-Ons,0.56,94
Successful Take-On %,64.3,52
Times Tackled During Take-On,0.19,81
Tackled During Take-On Percentage,21.4,66
Carries,44.91,91
Total Carrying Distance,271.31,93
Progressive Carrying Distance,176.14,95
Progressive Carries,1.37,91
Carries into Final Third,0.75,86
Carries into Penalty Area,0.06,83
Miscontrols,0.44,48
Dispossessed,0.44,6
Passes Received,46.15,83
Progressive Passes Rec,0.37,74
Yellow Cards,0.25,34
Red Cards,0.12,1
Second Yellow Card,0.00,57
Fouls Committed,0.93,43
Fouls Drawn,1.06,92
Offsides,0.00,76
Crosses,0.19,66
Interceptions,1.37,53
Tackles Won,1.49,96
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.06,14
Own Goals,0.00,60
Ball Recoveries,6.35,84
Aerials won,1.62,22
Aerials lost,0.93,91
% of Aerials Won,63.4,65
