Non-Penalty Goals,0.52,79
Non-Penalty xG,0.31,35
Shots Total,2.06,18
Assists,0.00,5
xAG,0.26,99
npxG + xAG,0.57,77
Shot-Creating Actions,4.98,99
Passes Attempted,48.61,99
Pass Completion %,79.2,93
Progressive Passes,4.81,99
Progressive Carries,0.86,27
Successful Take-Ons,1.37,88
Touches (Att Pen),2.58,1
Progressive Passes Rec,11.16,99
Tackles,0.34,14
Interceptions,0.17,45
Blocks,0.34,15
Clearances,0.69,40
Aerials won,0.34,3
Goals,0.52,71
Assists,0.00,5
Goals + Assists,0.52,46
Non-Penalty Goals,0.52,79
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
Yellow Cards,0.34,10
Red Cards,0.00,58
xG,0.31,25
Non-Penalty xG,0.31,35
xAG,0.26,99
npxG + xAG,0.57,77
Progressive Carries,0.86,27
Progressive Passes,4.81,99
Progressive Passes Rec,11.16,99
Goals,0.52,71
Shots Total,2.06,18
Shots on target,0.86,35
Shots on target %,41.7,66
Goals/Shot,0.25,97
Goals/Shot on target,0.60,98
Average Shot Distance,19.00,5
Shots from free kicks,0.17,92
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
xG,0.31,25
Non-Penalty xG,0.31,35
npxG/Sh,0.15,72
Goals - xG,0.21,94
Non-Penalty Goals - npxG,0.21,95
Passes Completed,38.47,99
Passes Attempted,48.61,99
Pass Completion %,79.2,93
Total Passing Distance,679.12,99
Progressive Passing Distance,142.39,99
Passes Completed (Short),19.58,99
Passes Attempted (Short),21.64,99
Pass Completion % (Short),90.5,99
Passes Completed (Medium),12.54,99
Passes Attempted (Medium),15.11,99
Pass Completion % (Medium),83.0,93
Passes Completed (Long),5.32,99
Passes Attempted (Long),8.42,99
Pass Completion % (Long),63.3,59
Assists,0.00,5
xAG,0.26,99
Expected Assists,0.21,97
Key Passes,2.75,99
Passes into Final Third,3.09,99
Passes into Penalty Area,1.55,99
Crosses into Penalty Area,0.52,99
Progressive Passes,4.81,99
Passes Attempted,48.61,99
Live-ball passes,42.60,99
Dead-ball passes,5.84,99
Passes from Free Kicks,0.86,98
Through Balls,0.00,10
Switches,1.55,99
Crosses,6.18,99
Throw-Ins taken,0.17,70
Corner Kicks,4.12,99
Inswinging Corner Kicks,2.06,99
Outswinging Corner Kicks,1.55,99
Straight Corner Kicks,0.00,49
Passes Completed,38.47,99
Passes Offside,0.17,29
Passes Blocked,1.72,1
Shot-Creating Actions,4.98,99
SCA (PassLive),2.75,99
SCA (PassDead),1.72,99
SCA (TO),0.00,3
SCA (Sh),0.00,1
SCA (Fld),0.34,83
SCA (Def),0.17,99
Goal-Creating Actions,0.17,23
GCA (PassLive),0.17,53
GCA (PassDead),0.00,48
GCA (TO),0.00,27
GCA (Sh),0.00,18
GCA (Fld),0.00,27
GCA (Def),0.00,47
Tackles,0.34,14
Tackles Won,0.17,15
Tackles (Def 3rd),0.17,70
Tackles (Mid 3rd),0.17,25
Tackles (Att 3rd),0.00,1
Dribblers Tackled,0.00,1
Dribbles Challenged,1.03,89
% of dribblers tackled,0.0,1
Challenges Lost,1.03,1
Blocks,0.34,15
Shots Blocked,0.00,7
Passes Blocked,0.34,28
Interceptions,0.17,45
Tkl+Int,0.52,17
Clearances,0.69,40
Errors,0.00,51
Touches,57.37,99
Touches (Def Pen),0.69,27
Touches (Def 3rd),2.06,35
Touches (Mid 3rd),22.33,99
Touches (Att 3rd),32.98,99
Touches (Att Pen),2.58,1
Touches (Live-Ball),57.37,99
Take-Ons Attempted,3.09,86
Successful Take-Ons,1.37,88
Successful Take-On %,44.4,52
Times Tackled During Take-On,1.72,92
Tackled During Take-On Percentage,55.6,33
Carries,35.73,99
Total Carrying Distance,155.61,94
Progressive Carrying Distance,52.73,85
Progressive Carries,0.86,27
Carries into Final Third,1.72,92
Carries into Penalty Area,0.34,27
Miscontrols,1.72,92
Dispossessed,0.86,79
Passes Received,44.83,99
Progressive Passes Rec,11.16,99
Yellow Cards,0.34,10
Red Cards,0.00,58
Second Yellow Card,0.00,53
Fouls Committed,0.34,99
Fouls Drawn,2.06,86
Offsides,0.52,49
Crosses,6.18,99
Interceptions,0.17,45
Tackles Won,0.17,15
Penalty Kicks Won,0.00,28
Penalty Kicks Conceded,0.00,51
Own Goals,0.00,51
Ball Recoveries,1.89,19
Aerials won,0.34,3
Aerials lost,0.86,97
% of Aerials Won,28.6,14
