Non-Penalty Goals,0.00,16
Non-Penalty xG,0.04,34
Shots Total,1.32,73
Assists,0.00,13
xAG,0.03,18
npxG + xAG,0.07,21
Shot-Creating Actions,1.75,26
Passes Attempted,60.89,85
Pass Completion %,89.6,96
Progressive Passes,5.70,68
Progressive Carries,0.57,15
Successful Take-Ons,0.39,24
Touches (Att Pen),0.26,11
Progressive Passes Rec,0.48,6
Tackles,1.80,38
Interceptions,0.92,34
Blocks,1.58,89
Clearances,1.27,68
Aerials won,1.58,86
Goals,0.00,16
Assists,0.00,13
Goals + Assists,0.00,7
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.31,32
Red Cards,0.00,62
xG,0.04,33
Non-Penalty xG,0.04,34
xAG,0.03,18
npxG + xAG,0.07,21
Progressive Carries,0.57,15
Progressive Passes,5.70,68
Progressive Passes Rec,0.48,6
Goals,0.00,16
Shots Total,1.32,73
Shots on target,0.48,82
Shots on target %,36.7,83
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,28.60,5
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.04,33
Non-Penalty xG,0.04,34
npxG/Sh,0.03,6
Goals - xG,-0.04,19
Non-Penalty Goals - npxG,-0.04,19
Passes Completed,54.53,89
Passes Attempted,60.89,85
Pass Completion %,89.6,96
Total Passing Distance,1030.11,92
Progressive Passing Distance,257.68,74
Passes Completed (Short),22.27,83
Passes Attempted (Short),24.11,81
Pass Completion % (Short),92.4,90
Passes Completed (Medium),24.86,94
Passes Attempted (Medium),26.43,92
Pass Completion % (Medium),94.0,98
Passes Completed (Long),6.53,88
Passes Attempted (Long),8.11,74
Pass Completion % (Long),80.5,96
Assists,0.00,13
xAG,0.03,18
Expected Assists,0.05,33
Key Passes,0.44,12
Passes into Final Third,5.30,77
Passes into Penalty Area,0.66,54
Crosses into Penalty Area,0.09,45
Progressive Passes,5.70,68
Passes Attempted,60.89,85
Live-ball passes,59.14,87
Dead-ball passes,1.71,43
Passes from Free Kicks,1.53,64
Through Balls,0.00,6
Switches,1.05,91
Crosses,0.35,26
Throw-Ins taken,0.18,36
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,54.53,89
Passes Offside,0.04,89
Passes Blocked,0.66,62
Shot-Creating Actions,1.75,26
SCA (PassLive),1.49,35
SCA (PassDead),0.13,62
SCA (TO),0.00,17
SCA (Sh),0.09,50
SCA (Fld),0.04,33
SCA (Def),0.00,15
Goal-Creating Actions,0.18,47
GCA (PassLive),0.13,48
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.04,86
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.80,38
Tackles Won,0.83,21
Tackles (Def 3rd),1.05,74
Tackles (Mid 3rd),0.75,28
Tackles (Att 3rd),0.00,1
Dribblers Tackled,0.88,48
Dribbles Challenged,1.93,49
% of dribblers tackled,45.5,49
Challenges Lost,1.05,49
Blocks,1.58,89
Shots Blocked,0.39,77
Passes Blocked,1.18,88
Interceptions,0.92,34
Tkl+Int,2.72,33
Clearances,1.27,68
Errors,0.04,20
Touches,70.23,84
Touches (Def Pen),2.81,79
Touches (Def 3rd),16.48,85
Touches (Mid 3rd),43.75,86
Touches (Att 3rd),10.70,40
Touches (Att Pen),0.26,11
Touches (Live-Ball),70.23,84
Take-Ons Attempted,0.61,14
Successful Take-Ons,0.39,24
Successful Take-On %,64.3,81
Times Tackled During Take-On,0.22,15
Tackled During Take-On Percentage,35.7,63
Carries,43.79,89
Total Carrying Distance,170.79,67
Progressive Carrying Distance,74.61,59
Progressive Carries,0.57,15
Carries into Final Third,1.23,57
Carries into Penalty Area,0.04,21
Miscontrols,1.14,57
Dispossessed,0.44,87
Passes Received,48.57,86
Progressive Passes Rec,0.48,6
Yellow Cards,0.31,32
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,2.45,4
Fouls Drawn,0.88,42
Offsides,0.00,75
Crosses,0.35,26
Interceptions,0.92,34
Tackles Won,0.83,21
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.04,12
Own Goals,0.00,52
Ball Recoveries,7.19,75
Aerials won,1.58,86
Aerials lost,0.57,86
% of Aerials Won,73.5,99
