player,url,position
Giuliano Galoppo,players/Sao Paulo/giuliano_galoppo.csv,MF
Gabriel,players/Sao Paulo/gabriel.csv,MF
Nikão,players/Sao Paulo/nikão.csv,FWMF
Emiliano Rigoni,players/Sao Paulo/emiliano_rigoni.csv,FWMF
Robert Arboleda,players/Sao Paulo/robert_arboleda.csv,DF
Marcos Guilherme,players/Sao Paulo/marcos_guilherme.csv,FWMF
Jonathan Calleri,players/Sao Paulo/jonathan_calleri.csv,FW
Rafinha,players/Sao Paulo/rafinha.csv,DF
Felipe Alves Raymundo,players/Sao Paulo/felipe_alves_raymundo.csv,GK
Igor Gomes,players/Sao Paulo/igor_gomes.csv,MF
Jandrei,players/Sao Paulo/jandrei.csv,GK
Miranda,players/Sao Paulo/miranda.csv,DF
Luciano,players/Sao Paulo/luciano.csv,FW
Nahuel Ferraresi,players/Sao Paulo/nahuel_ferraresi.csv,DF
Luizão,players/Sao Paulo/luizão.csv,DF
Patrick,players/Sao Paulo/patrick.csv,MFFW
Diego,players/Sao Paulo/diego.csv,DF
Welington,players/Sao Paulo/welington.csv,DFFW
Talles Costa,players/Sao Paulo/talles_costa.csv,MF
Tiago Volpi,players/Sao Paulo/tiago_volpi.csv,GK
Reinaldo,players/Sao Paulo/reinaldo.csv,DFFW
Gabriel Neves,players/Sao Paulo/gabriel_neves.csv,MF
Alisson,players/Sao Paulo/alisson.csv,MFFW
Léo Pelé,players/Sao Paulo/léo_pelé.csv,DF
Igor Vinícius de Souza,players/Sao Paulo/igor_vinícius_de_souza.csv,DFFW
Éder,players/Sao Paulo/éder.csv,FWMF
Pablo Maia,players/Sao Paulo/pablo_maia.csv,MF
Rodrigo Nestor,players/Sao Paulo/rodrigo_nestor.csv,MF
