Non-Penalty Goals,0.00,21
Non-Penalty xG,0.00,2
Shots Total,0.11,1
Assists,0.11,64
xAG,0.05,22
npxG + xAG,0.06,8
Shot-Creating Actions,1.90,38
Passes Attempted,72.68,97
Pass Completion %,87.9,99
Progressive Passes,7.59,99
Progressive Carries,1.51,30
Successful Take-Ons,0.11,3
Touches (Att Pen),0.18,1
Progressive Passes Rec,1.83,6
Tackles,2.11,62
Interceptions,1.12,42
Blocks,0.60,7
Clearances,1.93,37
Aerials won,0.63,19
Non-Penalty Goals,0.00,21
Non-Penalty xG,0.00,1
Shots Total,0.11,2
Assists,0.11,96
xAG,0.05,87
npxG + xAG,0.06,35
Shot-Creating Actions,1.90,99
Passes Attempted,72.68,96
Pass Completion %,87.9,88
Progressive Passes,7.59,99
Progressive Carries,1.51,93
Successful Take-Ons,0.11,31
Touches (Att Pen),0.18,1
Progressive Passes Rec,1.83,97
Tackles,2.11,90
Interceptions,1.12,29
Blocks,0.60,3
Clearances,1.93,1
Aerials won,0.63,1
Goals,0.00,20
Assists,0.11,64
Goals + Assists,0.11,41
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.25,23
Red Cards,0.04,16
xG,0.00,2
Non-Penalty xG,0.00,2
xAG,0.05,22
npxG + xAG,0.06,8
Progressive Carries,1.51,30
Progressive Passes,7.59,99
Progressive Passes Rec,1.83,6
Goals,0.00,20
Shots Total,0.11,1
Shots on target,0.00,3
Shots on target %,0.0,3
Goals/Shot,0.00,21
Average Shot Distance,25.20,14
Shots from free kicks,0.00,37
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.00,2
Non-Penalty xG,0.00,2
npxG/Sh,0.04,21
Goals - xG,0.00,61
Non-Penalty Goals - npxG,0.00,60
Passes Completed,63.90,99
Passes Attempted,72.68,97
Pass Completion %,87.9,99
Total Passing Distance,1206.25,99
Progressive Passing Distance,443.85,99
Passes Completed (Short),26.94,93
Passes Attempted (Short),28.31,89
Pass Completion % (Short),95.2,99
Passes Completed (Medium),28.14,99
Passes Attempted (Medium),31.12,99
Pass Completion % (Medium),90.4,99
Passes Completed (Long),8.40,99
Passes Attempted (Long),11.45,93
Pass Completion % (Long),73.3,99
Assists,0.11,64
xAG,0.05,22
Expected Assists,0.10,59
Key Passes,0.53,14
Passes into Final Third,8.19,99
Passes into Penalty Area,1.02,55
Crosses into Penalty Area,0.32,28
Progressive Passes,7.59,99
Passes Attempted,72.68,97
Live-ball passes,63.93,98
Dead-ball passes,8.54,24
Passes from Free Kicks,2.39,94
Through Balls,0.04,44
Switches,0.98,96
Crosses,1.05,3
Throw-Ins taken,6.15,10
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,32
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,47
Passes Completed,63.90,99
Passes Offside,0.21,29
Passes Blocked,0.67,94
Shot-Creating Actions,1.90,38
SCA (PassLive),1.65,56
SCA (PassDead),0.07,21
SCA (TO),0.00,14
SCA (Sh),0.04,27
SCA (Fld),0.07,55
SCA (Def),0.07,83
Goal-Creating Actions,0.25,72
GCA (PassLive),0.25,83
GCA (PassDead),0.00,34
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,48
Tackles,2.11,62
Tackles Won,1.19,52
Tackles (Def 3rd),1.09,48
Tackles (Mid 3rd),0.84,80
Tackles (Att 3rd),0.18,48
Dribblers Tackled,1.19,63
Dribbles Challenged,1.90,56
% of dribblers tackled,63.0,69
Challenges Lost,0.70,54
Blocks,0.60,7
Shots Blocked,0.14,19
Passes Blocked,0.46,10
Interceptions,1.12,42
Tkl+Int,3.23,53
Clearances,1.93,37
Errors,0.00,65
Touches,79.36,96
Touches (Def Pen),3.37,59
Touches (Def 3rd),22.59,86
