Non-Penalty Goals,0.12,93
Non-Penalty xG,0.06,71
Shots Total,1.35,95
Assists,0.31,99
xAG,0.20,91
npxG + xAG,0.25,90
Shot-Creating Actions,4.98,99
Passes Attempted,55.18,63
Pass Completion %,67.8,11
Progressive Passes,6.64,97
Progressive Carries,2.03,54
Successful Take-Ons,1.05,79
Touches (Att Pen),1.41,65
Progressive Passes Rec,6.77,89
Tackles,0.98,2
Interceptions,0.62,2
Blocks,0.92,34
Clearances,1.35,10
Aerials won,0.43,7
Goals,0.18,97
Assists,0.31,99
Goals + Assists,0.49,99
Non-Penalty Goals,0.12,93
Penalty Kicks Made,0.06,99
Penalty Kicks Attempted,0.06,99
Yellow Cards,0.18,47
Red Cards,0.00,61
xG,0.10,93
Non-Penalty xG,0.06,71
xAG,0.20,91
npxG + xAG,0.25,90
Progressive Carries,2.03,54
Progressive Passes,6.64,97
Progressive Passes Rec,6.77,89
Goals,0.18,97
Shots Total,1.35,95
Shots on target,0.25,78
Shots on target %,18.2,28
Goals/Shot,0.09,74
Goals/Shot on target,0.50,86
Average Shot Distance,22.00,39
Shots from free kicks,0.06,87
Penalty Kicks Made,0.06,99
Penalty Kicks Attempted,0.06,99
xG,0.10,93
Non-Penalty xG,0.06,71
npxG/Sh,0.04,21
Goals - xG,0.08,98
Non-Penalty Goals - npxG,0.07,97
Passes Completed,37.40,42
Passes Attempted,55.18,63
Pass Completion %,67.8,11
Total Passing Distance,762.20,75
Progressive Passing Distance,308.63,82
Passes Completed (Short),14.76,23
Passes Attempted (Short),17.10,19
Pass Completion % (Short),86.3,32
Passes Completed (Medium),15.75,50
Passes Attempted (Medium),20.98,61
Pass Completion % (Medium),75.1,28
Passes Completed (Long),6.52,96
Passes Attempted (Long),14.09,98
Pass Completion % (Long),46.3,42
Assists,0.31,99
xAG,0.20,91
Expected Assists,0.28,99
Key Passes,2.46,98
Passes into Final Third,4.31,88
Passes into Penalty Area,2.09,98
Crosses into Penalty Area,1.05,97
Progressive Passes,6.64,97
Passes Attempted,55.18,63
Live-ball passes,39.13,38
Dead-ball passes,15.81,98
Passes from Free Kicks,1.60,81
Through Balls,0.12,89
Switches,1.11,96
Crosses,8.49,97
Throw-Ins taken,10.40,90
Corner Kicks,3.81,99
Inswinging Corner Kicks,0.49,87
Outswinging Corner Kicks,3.26,99
Straight Corner Kicks,0.00,47
Passes Completed,37.40,42
Passes Offside,0.25,17
Passes Blocked,1.48,20
Shot-Creating Actions,4.98,99
SCA (PassLive),3.14,99
SCA (PassDead),1.29,96
SCA (TO),0.37,98
SCA (Sh),0.12,80
SCA (Fld),0.06,45
SCA (Def),0.00,23
Goal-Creating Actions,0.49,98
GCA (PassLive),0.31,92
GCA (PassDead),0.18,99
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,48
Tackles,0.98,2
Tackles Won,0.74,8
Tackles (Def 3rd),0.43,1
Tackles (Mid 3rd),0.43,19
Tackles (Att 3rd),0.12,31
Dribblers Tackled,0.43,2
Dribbles Challenged,0.98,4
% of dribblers tackled,43.8,5
Challenges Lost,0.55,72
Blocks,0.92,34
Shots Blocked,0.12,16
Passes Blocked,0.80,62
Interceptions,0.62,2
Tkl+Int,1.60,1
Clearances,1.35,10
Errors,0.00,65
Touches,64.65,60
Touches (Def Pen),1.91,6
Touches (Def 3rd),10.64,2
Touches (Mid 3rd),27.25,47
Touches (Att 3rd),27.38,96
Touches (Att Pen),1.41,65
Touches (Live-Ball),64.59,60
Take-Ons Attempted,2.09,78
Successful Take-Ons,1.05,79
Successful Take-On %,50.0,66
Times Tackled During Take-On,1.05,79
Tackled During Take-On Percentage,50.0,38
Carries,31.74,56
Total Carrying Distance,178.15,63
Progressive Carrying Distance,90.80,58
Progressive Carries,2.03,54
Carries into Final Third,1.91,82
Carries into Penalty Area,0.25,54
Miscontrols,1.54,23
Dispossessed,1.11,7
Passes Received,35.43,56
Progressive Passes Rec,6.77,89
Yellow Cards,0.18,47
Red Cards,0.00,61
Second Yellow Card,0.00,54
Fouls Committed,0.98,56
Fouls Drawn,0.74,38
Offsides,0.06,45
Crosses,8.49,97
Interceptions,0.62,2
Tackles Won,0.74,8
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,5.17,33
Aerials won,0.43,7
Aerials lost,0.62,88
% of Aerials Won,41.2,19
