Non-Penalty Goals,0.00,21
Non-Penalty xG,0.06,69
Shots Total,1.25,99
Assists,0.00,29
xAG,0.01,33
npxG + xAG,0.09,64
Shot-Creating Actions,0.88,65
Passes Attempted,52.88,64
Pass Completion %,87.5,86
Progressive Passes,2.25,27
Progressive Carries,0.13,10
Successful Take-Ons,0.00,4
Touches (Att Pen),2.00,98
Progressive Passes Rec,0.25,61
Tackles,1.00,25
Interceptions,0.75,4
Blocks,1.25,60
Clearances,6.50,99
Aerials won,4.63,96
Goals,0.00,21
Assists,0.00,29
Goals + Assists,0.00,14
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.13,76
Red Cards,0.00,64
xG,0.06,67
Non-Penalty xG,0.06,69
xAG,0.01,33
npxG + xAG,0.09,64
Progressive Carries,0.13,10
Progressive Passes,2.25,27
Progressive Passes Rec,0.25,61
Goals,0.00,21
Shots Total,1.25,99
Shots on target,0.25,84
Shots on target %,20.0,34
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,9.90,82
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.06,67
Non-Penalty xG,0.06,69
npxG/Sh,0.05,8
Goals - xG,-0.06,6
Non-Penalty Goals - npxG,-0.06,6
Passes Completed,46.25,73
Passes Attempted,52.88,64
Pass Completion %,87.5,86
Total Passing Distance,978.25,76
Progressive Passing Distance,315.75,51
Passes Completed (Short),11.25,39
Passes Attempted (Short),12.13,31
Pass Completion % (Short),92.8,85
Passes Completed (Medium),26.63,78
Passes Attempted (Medium),29.88,81
Pass Completion % (Medium),89.1,41
Passes Completed (Long),6.75,80
Passes Attempted (Long),8.88,51
Pass Completion % (Long),76.1,99
Assists,0.00,29
xAG,0.01,33
Expected Assists,0.00,1
Key Passes,0.13,22
Passes into Final Third,1.75,20
Passes into Penalty Area,0.00,6
Crosses into Penalty Area,0.00,29
Progressive Passes,2.25,27
Passes Attempted,52.88,64
Live-ball passes,48.75,60
Dead-ball passes,4.13,88
Passes from Free Kicks,2.38,91
Through Balls,0.00,29
Switches,0.38,39
Crosses,0.00,10
Throw-Ins taken,0.00,3
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,46.25,73
Passes Offside,0.00,94
Passes Blocked,0.25,70
Shot-Creating Actions,0.88,65
SCA (PassLive),0.38,19
SCA (PassDead),0.13,96
SCA (TO),0.00,40
SCA (Sh),0.25,99
SCA (Fld),0.13,99
SCA (Def),0.00,34
Goal-Creating Actions,0.13,80
GCA (PassLive),0.13,88
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.00,36
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,1.00,25
Tackles Won,0.75,46
Tackles (Def 3rd),0.75,34
Tackles (Mid 3rd),0.25,25
Tackles (Att 3rd),0.00,21
Dribblers Tackled,0.75,63
Dribbles Challenged,0.88,33
% of dribblers tackled,85.7,99
Challenges Lost,0.13,97
Blocks,1.25,60
Shots Blocked,0.88,72
Passes Blocked,0.38,40
Interceptions,0.75,4
Tkl+Int,1.75,9
Clearances,6.50,99
Errors,0.00,75
Touches,65.38,71
Touches (Def Pen),10.75,95
Touches (Def 3rd),34.50,72
Touches (Mid 3rd),28.63,71
Touches (Att 3rd),2.38,52
Touches (Att Pen),2.00,98
Touches (Live-Ball),65.38,71
Take-Ons Attempted,0.00,1
Successful Take-Ons,0.00,4
Times Tackled During Take-On,0.00,10
Carries,34.00,65
Total Carrying Distance,165.38,58
Progressive Carrying Distance,92.38,53
Progressive Carries,0.13,10
Carries into Final Third,0.00,1
Carries into Penalty Area,0.00,25
Miscontrols,0.25,82
Dispossessed,0.13,54
Passes Received,40.25,66
Progressive Passes Rec,0.25,61
Yellow Cards,0.13,76
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.13,24
Fouls Drawn,0.38,34
Offsides,0.00,76
Crosses,0.00,10
Interceptions,0.75,4
Tackles Won,0.75,46
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.00,71
Own Goals,0.00,60
Ball Recoveries,3.63,6
Aerials won,4.63,96
Aerials lost,1.38,62
% of Aerials Won,77.1,99
