Non-Penalty Goals,0.13,83
Non-Penalty xG,0.16,90
Shots Total,2.50,97
Assists,0.13,74
xAG,0.17,90
npxG + xAG,0.33,93
Shot-Creating Actions,3.39,84
Passes Attempted,44.28,40
Pass Completion %,78.1,29
Progressive Passes,3.73,18
Progressive Carries,1.99,84
Successful Take-Ons,0.93,71
Touches (Att Pen),3.39,98
Progressive Passes Rec,6.53,98
Tackles,1.44,17
Interceptions,1.10,54
Blocks,0.76,13
Clearances,0.51,9
Aerials won,0.47,16
Goals,0.13,80
Assists,0.13,74
Goals + Assists,0.25,79
Non-Penalty Goals,0.13,83
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.30,34
Red Cards,0.00,62
xG,0.16,88
Non-Penalty xG,0.16,90
xAG,0.17,90
npxG + xAG,0.33,93
Progressive Carries,1.99,84
Progressive Passes,3.73,18
Progressive Passes Rec,6.53,98
Goals,0.13,80
Shots Total,2.50,97
Shots on target,0.59,89
Shots on target %,23.7,40
Goals/Shot,0.05,46
Goals/Shot on target,0.21,52
Average Shot Distance,21.40,56
Shots from free kicks,0.21,91
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.16,88
Non-Penalty xG,0.16,90
npxG/Sh,0.06,45
Goals - xG,-0.03,25
Non-Penalty Goals - npxG,-0.03,25
Passes Completed,34.58,35
Passes Attempted,44.28,40
Pass Completion %,78.1,29
Total Passing Distance,566.44,29
Progressive Passing Distance,126.74,12
Passes Completed (Short),17.54,56
Passes Attempted (Short),20.08,58
Pass Completion % (Short),87.3,44
Passes Completed (Medium),13.05,28
Passes Attempted (Medium),16.06,32
Pass Completion % (Medium),81.3,20
Passes Completed (Long),2.71,20
Passes Attempted (Long),4.92,27
Pass Completion % (Long),55.2,28
Assists,0.13,74
xAG,0.17,90
Expected Assists,0.16,87
Key Passes,1.74,87
Passes into Final Third,2.29,7
Passes into Penalty Area,0.93,75
Crosses into Penalty Area,0.21,77
Progressive Passes,3.73,18
Passes Attempted,44.28,40
Live-ball passes,40.81,37
Dead-ball passes,3.35,73
Passes from Free Kicks,1.27,53
Through Balls,0.21,80
Switches,0.13,9
Crosses,3.69,86
Throw-Ins taken,0.30,60
Corner Kicks,1.69,80
Inswinging Corner Kicks,1.19,88
Outswinging Corner Kicks,0.25,75
Straight Corner Kicks,0.00,42
Passes Completed,34.58,35
Passes Offside,0.13,57
Passes Blocked,1.10,12
Shot-Creating Actions,3.39,84
SCA (PassLive),1.99,67
SCA (PassDead),0.68,83
SCA (TO),0.13,81
SCA (Sh),0.42,99
SCA (Fld),0.08,57
SCA (Def),0.08,76
Goal-Creating Actions,0.25,66
GCA (PassLive),0.21,73
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.04,84
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.44,17
Tackles Won,0.81,18
Tackles (Def 3rd),0.55,19
Tackles (Mid 3rd),0.68,22
Tackles (Att 3rd),0.21,50
Dribblers Tackled,0.59,19
Dribbles Challenged,1.65,30
% of dribblers tackled,35.9,18
Challenges Lost,1.06,48
Blocks,0.76,13
Shots Blocked,0.13,18
Passes Blocked,0.64,26
Interceptions,1.10,54
Tkl+Int,2.54,25
Clearances,0.51,9
Errors,0.00,67
Touches,55.30,46
Touches (Def Pen),0.81,6
Touches (Def 3rd),8.01,13
Touches (Mid 3rd),23.56,13
Touches (Att 3rd),24.24,97
Touches (Att Pen),3.39,98
Touches (Live-Ball),55.30,46
Take-Ons Attempted,2.25,87
Successful Take-Ons,0.93,71
Successful Take-On %,41.5,18
Times Tackled During Take-On,1.19,93
Tackled During Take-On Percentage,52.8,13
Carries,29.92,46
Total Carrying Distance,127.33,28
Progressive Carrying Distance,61.44,38
Progressive Carries,1.99,84
Carries into Final Third,0.72,22
Carries into Penalty Area,1.23,99
Miscontrols,1.61,24
Dispossessed,1.14,17
Passes Received,36.74,51
Progressive Passes Rec,6.53,98
Yellow Cards,0.30,34
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,1.69,23
Fouls Drawn,0.68,25
Offsides,0.08,18
Crosses,3.69,86
Interceptions,1.10,54
Tackles Won,0.81,18
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,5.25,16
Aerials won,0.47,16
Aerials lost,0.76,69
% of Aerials Won,37.9,21
