Non-Penalty Goals,0.00,16
Non-Penalty xG,0.02,8
Shots Total,0.66,30
Assists,0.33,99
xAG,0.12,73
npxG + xAG,0.13,47
Shot-Creating Actions,2.31,54
Passes Attempted,41.54,30
Pass Completion %,86.9,87
Progressive Passes,4.95,52
Progressive Carries,2.14,87
Successful Take-Ons,1.15,84
Touches (Att Pen),1.32,69
Progressive Passes Rec,4.29,90
Tackles,1.81,40
Interceptions,1.32,70
Blocks,1.15,59
Clearances,0.49,8
Aerials won,0.82,46
Goals,0.00,16
Assists,0.33,99
Goals + Assists,0.33,88
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.16,69
Red Cards,0.00,62
xG,0.02,8
Non-Penalty xG,0.02,8
xAG,0.12,73
npxG + xAG,0.13,47
Progressive Carries,2.14,87
Progressive Passes,4.95,52
Progressive Passes Rec,4.29,90
Goals,0.00,16
Shots Total,0.66,30
Shots on target,0.16,34
Shots on target %,25.0,42
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,25.20,24
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.02,8
Non-Penalty xG,0.02,8
npxG/Sh,0.03,6
Goals - xG,-0.02,43
Non-Penalty Goals - npxG,-0.02,43
Passes Completed,36.10,40
Passes Attempted,41.54,30
Pass Completion %,86.9,87
Total Passing Distance,505.05,20
Progressive Passing Distance,137.47,17
Passes Completed (Short),21.10,78
Passes Attempted (Short),23.08,78
Pass Completion % (Short),91.4,84
Passes Completed (Medium),11.04,17
Passes Attempted (Medium),12.69,12
Pass Completion % (Medium),87.0,52
Passes Completed (Long),1.65,5
Passes Attempted (Long),2.14,2
Pass Completion % (Long),76.9,88
Assists,0.33,99
xAG,0.12,73
Expected Assists,0.08,54
Key Passes,0.99,60
Passes into Final Third,3.63,37
Passes into Penalty Area,0.66,55
Crosses into Penalty Area,0.00,7
Progressive Passes,4.95,52
Passes Attempted,41.54,30
Live-ball passes,40.05,32
Dead-ball passes,1.48,35
Passes from Free Kicks,0.66,23
Through Balls,0.16,73
Switches,0.00,1
Crosses,0.82,50
Throw-Ins taken,0.82,87
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,36.10,40
Passes Offside,0.00,98
Passes Blocked,0.66,62
Shot-Creating Actions,2.31,54
SCA (PassLive),1.48,33
SCA (PassDead),0.16,65
SCA (TO),0.00,17
SCA (Sh),0.00,8
SCA (Fld),0.33,96
SCA (Def),0.33,99
Goal-Creating Actions,0.66,99
GCA (PassLive),0.33,91
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.16,99
GCA (Def),0.16,99
Tackles,1.81,40
Tackles Won,1.32,64
Tackles (Def 3rd),0.49,15
Tackles (Mid 3rd),1.32,81
Tackles (Att 3rd),0.00,1
Dribblers Tackled,0.99,58
Dribbles Challenged,1.81,43
% of dribblers tackled,54.5,83
Challenges Lost,0.82,74
Blocks,1.15,59
Shots Blocked,0.00,1
Passes Blocked,1.15,85
Interceptions,1.32,70
Tkl+Int,3.13,52
Clearances,0.49,8
Errors,0.00,67
Touches,51.59,28
Touches (Def Pen),0.82,6
Touches (Def 3rd),9.07,20
Touches (Mid 3rd),29.18,29
Touches (Att 3rd),14.34,68
Touches (Att Pen),1.32,69
Touches (Live-Ball),51.59,28
Take-Ons Attempted,2.14,84
Successful Take-Ons,1.15,84
Successful Take-On %,53.8,54
Times Tackled During Take-On,0.66,69
Tackled During Take-On Percentage,30.8,77
Carries,31.15,52
Total Carrying Distance,176.21,71
Progressive Carrying Distance,82.58,69
Progressive Carries,2.14,87
Carries into Final Third,0.99,42
Carries into Penalty Area,0.33,85
Miscontrols,0.82,84
Dispossessed,1.98,1
Passes Received,37.75,55
Progressive Passes Rec,4.29,90
Yellow Cards,0.16,69
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,0.99,77
Fouls Drawn,2.47,98
Offsides,0.00,75
Crosses,0.82,50
Interceptions,1.32,70
Tackles Won,1.32,64
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,4.62,6
Aerials won,0.82,46
Aerials lost,0.66,78
% of Aerials Won,55.6,76
