PSxG-GA,0.10,62
Goals Against,1.27,50
Save Percentage,74.3,66
PSxG/SoT,0.26,28
Save% (Penalty Kicks),66.7,93
Clean Sheet Percentage,18.2,17
Touches,42.14,94
Launch %,38.9,47
Goal Kicks,8.36,65
Avg. Length of Goal Kicks,52.0,88
Crosses Stopped %,4.0,26
Def. Actions Outside Pen. Area,1.73,92
Avg. Distance of Def. Actions,15.3,77
Goals Against,1.27,50
Shots on Target Against,4.77,75
Saves,3.45,81
Save Percentage,74.3,66
Wins,0.45,74
Draws,0.36,84
Losses,0.18,12
Clean Sheets,0.18,18
Clean Sheet Percentage,18.2,17
Penalty Kicks Attempted,0.14,56
Penalty Kicks Allowed,0.05,77
Penalty Kicks Saved,0.09,95
Penalty Kicks Missed,0.00,39
Save% (Penalty Kicks),66.7,93
Goals Against,1.27,50
Penalty Kicks Allowed,0.05,77
Free Kick Goals Against,0.09,3
Corner Kick Goals Against,0.27,10
Own Goals Scored Against Goalkeeper,0.05,31
Post-Shot Expected Goals,1.33,48
PSxG/SoT,0.26,28
PSxG-GA,0.10,62
Passes Completed (Launched),7.64,91
Passes Attempted (Launched),16.82,79
Pass Completion Percentage (Launched),45.4,95
Passes Attempted,30.23,86
Throws Attempted,3.41,12
Launch %,38.9,47
Average Pass Length,38.3,74
Goal Kicks,8.36,65
Launch% (Goal Kicks),60.3,67
Avg. Length of Goal Kicks,52.0,88
Crosses Faced,16.95,86
Crosses Stopped,0.68,39
Crosses Stopped %,4.0,26
Def. Actions Outside Pen. Area,1.73,92
Avg. Distance of Def. Actions,15.3,77
