Non-Penalty Goals,0.00,21
Non-Penalty xG,0.05,66
Shots Total,0.81,74
Assists,0.32,99
xAG,0.13,80
npxG + xAG,0.18,76
Shot-Creating Actions,4.20,98
Passes Attempted,58.98,79
Pass Completion %,75.4,51
Progressive Passes,5.71,91
Progressive Carries,3.99,98
Successful Take-Ons,1.56,95
Touches (Att Pen),1.72,80
Progressive Passes Rec,9.37,98
Tackles,1.83,43
Interceptions,0.81,13
Blocks,0.81,18
Clearances,1.94,39
Aerials won,0.92,46
Goals,0.00,20
Assists,0.32,99
Goals + Assists,0.32,95
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.27,20
Red Cards,0.05,5
xG,0.05,64
Non-Penalty xG,0.05,66
xAG,0.13,80
npxG + xAG,0.18,76
Progressive Carries,3.99,98
Progressive Passes,5.71,91
Progressive Passes Rec,9.37,98
Goals,0.00,20
Shots Total,0.81,74
Shots on target,0.32,88
Shots on target %,40.0,89
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,22.00,39
Shots from free kicks,0.00,37
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.05,64
Non-Penalty xG,0.05,66
npxG/Sh,0.06,49
Goals - xG,-0.05,7
Non-Penalty Goals - npxG,-0.05,7
Passes Completed,44.49,74
Passes Attempted,58.98,79
Pass Completion %,75.4,51
Total Passing Distance,746.55,70
Progressive Passing Distance,262.03,56
Passes Completed (Short),22.35,73
Passes Attempted (Short),24.45,70
Pass Completion % (Short),91.4,85
Passes Completed (Medium),17.29,66
Passes Attempted (Medium),23.16,79
Pass Completion % (Medium),74.7,27
Passes Completed (Long),4.09,68
Passes Attempted (Long),7.97,61
Pass Completion % (Long),51.4,62
Assists,0.32,99
xAG,0.13,80
Expected Assists,0.17,88
Key Passes,2.10,97
Passes into Final Third,2.42,26
Passes into Penalty Area,2.32,99
Crosses into Penalty Area,0.81,88
Progressive Passes,5.71,91
Passes Attempted,58.98,79
Live-ball passes,45.62,67
Dead-ball passes,13.03,92
Passes from Free Kicks,1.18,66
Through Balls,0.00,17
Switches,0.32,51
Crosses,6.73,92
Throw-Ins taken,9.91,82
Corner Kicks,1.94,92
Inswinging Corner Kicks,0.00,32
Outswinging Corner Kicks,1.83,98
Straight Corner Kicks,0.00,47
Passes Completed,44.49,74
Passes Offside,0.32,8
Passes Blocked,1.62,14
Shot-Creating Actions,4.20,98
SCA (PassLive),2.64,96
SCA (PassDead),0.75,91
SCA (TO),0.43,99
SCA (Sh),0.05,46
SCA (Fld),0.22,93
SCA (Def),0.11,94
Goal-Creating Actions,0.54,99
GCA (PassLive),0.38,97
GCA (PassDead),0.05,86
GCA (TO),0.11,99
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,48
Tackles,1.83,43
Tackles Won,1.13,46
Tackles (Def 3rd),1.08,46
Tackles (Mid 3rd),0.48,27
Tackles (Att 3rd),0.27,72
Dribblers Tackled,0.75,17
Dribbles Challenged,1.89,55
% of dribblers tackled,40.0,3
Challenges Lost,1.13,17
Blocks,0.81,18
Shots Blocked,0.05,5
Passes Blocked,0.75,55
Interceptions,0.81,13
Tkl+Int,2.64,26
Clearances,1.94,39
Errors,0.00,65
Touches,70.40,82
Touches (Def Pen),2.59,25
Touches (Def 3rd),12.60,6
Touches (Mid 3rd),27.74,50
Touches (Att 3rd),30.86,99
Touches (Att Pen),1.72,80
Touches (Live-Ball),70.40,82
Take-Ons Attempted,3.50,96
Successful Take-Ons,1.56,95
Successful Take-On %,44.6,44
Times Tackled During Take-On,1.29,90
Tackled During Take-On Percentage,36.9,81
Carries,37.33,83
Total Carrying Distance,229.34,94
Progressive Carrying Distance,129.64,94
Progressive Carries,3.99,98
Carries into Final Third,3.29,99
Carries into Penalty Area,0.86,96
Miscontrols,1.72,13
Dispossessed,1.13,6
Passes Received,40.50,77
Progressive Passes Rec,9.37,98
Yellow Cards,0.27,20
Red Cards,0.05,5
Second Yellow Card,0.05,1
Fouls Committed,1.02,53
Fouls Drawn,1.67,88
Offsides,0.05,49
Crosses,6.73,92
Interceptions,0.81,13
Tackles Won,1.13,46
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,5.01,29
Aerials won,0.92,46
Aerials lost,0.97,49
% of Aerials Won,48.6,40
