Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,21
Assists,0.09,53
Goals + Assists,0.09,33
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.23,34
Red Cards,0.05,7
xG,0.01,7
Non-Penalty xG,0.01,7
xAG,0.03,7
npxG + xAG,0.04,3
,,
Progressive Carries,2.30,59
Progressive Passes,4.93,76
Progressive Passes Rec,1.61,3
Goals,0.00,21
Shots Total,0.23,10
Shots on target,0.00,4
Shots on target %,0.0%,4
Goals/Shot,0.00,21
Average Shot Distance,23.10,22
Shots from free kicks,0.00,39
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.01,7
Non-Penalty xG,0.01,7
npxG/Sh,0.04,18
Goals - xG,-0.01,48
Non-Penalty Goals - npxG,-0.01,47
Passes Completed,51.89,82
Passes Attempted,60.09,75
Pass Completion %,86.3%,93
Total Passing Distance,923.27,88
Progressive Passing Distance,291.84,77
,,
Passes Completed (Short),22.90,61
Passes Attempted (Short),24.75,56
Pass Completion % (Short),92.6%,92
,,
Passes Completed (Medium),22.77,90
Passes Attempted (Medium),25.58,89
Pass Completion % (Medium),89.0%,95
,,
Passes Completed (Long),5.21,90
Passes Attempted (Long),7.37,63
Pass Completion % (Long),70.6%,97
Assists,0.09,53
xAG,0.03,7
Expected Assists,0.03,3
Key Passes,0.51,11
Passes into Final Third,4.52,91
Passes into Penalty Area,0.37,3
Crosses into Penalty Area,0.14,8
Progressive Passes,4.93,76
Passes Attempted,60.09,75
,,
Live-ball passes,53.36,84
Dead-ball passes,6.50,6
Passes from Free Kicks,0.78,41
Through Balls,0.00,16
Switches,0.41,71
Crosses,0.88,7
Throw-Ins taken,5.16,5
Corner Kicks,0.00,25
,,
Inswinging Corner Kicks,0.00,34
Outswinging Corner Kicks,0.00,33
Straight Corner Kicks,0.00,48
,,
Passes Completed,51.89,82
Passes Offside,0.23,35
Passes Blocked,0.51,98
Shot-Creating Actions,1.43,13
,,
SCA (PassLive),1.24,22
SCA (PassDead),0.00,6
SCA (TO),0.05,43
SCA (Sh),0.00,14
SCA (Fld),0.09,69
SCA (Def),0.05,67
,,
Goal-Creating Actions,0.23,59
,,
GCA (PassLive),0.23,75
GCA (PassDead),0.00,33
GCA (TO),0.00,40
GCA (Sh),0.00,39
GCA (Fld),0.00,39
GCA (Def),0.00,47
Tackles,1.34,12
Tackles Won,0.74,10
Tackles (Def 3rd),0.60,7
Tackles (Mid 3rd),0.60,44
Tackles (Att 3rd),0.14,23
,,
Dribblers Tackled,0.46,1
Dribbles Challenged,1.01,6
% of dribblers tackled,45.5%,9
Challenges Lost,0.55,72
,,
Blocks,1.15,53
Shots Blocked,0.46,85
Passes Blocked,0.69,25
,,
Interceptions,1.43,84
Tkl+Int,2.77,32
Clearances,2.21,60
Errors,0.00,72
Touches,69.17,68
Touches (Def Pen),5.16,96
Touches (Def 3rd),23.46,90
Touches (Mid 3rd),35.76,88
Touches (Att 3rd),10.55,4
Touches (Att Pen),0.55,7
Touches (Live-Ball),69.17,68
,,
Take-Ons Attempted,1.34,48
Successful Take-Ons,0.92,75
Successful Take-On %,69.0%,98
Times Tackled During Take-On,0.18,4
Tackled During Take-On Percentage,13.8%,99
,,
Carries,37.47,65
Total Carrying Distance,203.36,64
Progressive Carrying Distance,114.56,73
,,
Progressive Carries,2.30,59
Carries into Final Third,1.38,39
Carries into Penalty Area,0.14,24
Miscontrols,0.88,78
Dispossessed,0.65,42
,,
Passes Received,44.42,78
Progressive Passes Rec,1.61,3
Yellow Cards,0.23,34
Red Cards,0.05,7
Second Yellow Card,0.00,54
Fouls Committed,1.61,7
Fouls Drawn,1.47,81
Offsides,0.00,89
Crosses,0.88,7
,,
Interceptions,1.43,84
Tackles Won,0.74,10
Penalty Kicks Won,0.05,95
Penalty Kicks Conceded,0.00,66
Own Goals,0.05,5
Ball Recoveries,6.22,75
,,
Aerials won,1.89,95
Aerials lost,0.74,68
% of Aerials Won,71.9%,99
