Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,21
Assists,0.25,91
Goals + Assists,0.25,80
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.25,29
Red Cards,0.00,59
xG,0.02,24
Non-Penalty xG,0.02,24
xAG,0.11,59
npxG + xAG,0.13,41
,,
Progressive Carries,2.27,57
Progressive Passes,2.93,15
Progressive Passes Rec,6.32,80
Goals,0.00,21
Shots Total,0.54,41
Shots on target,0.04,10
Shots on target %,7.7%,9
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,21.50,35
Shots from free kicks,0.08,88
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
,,
xG,0.02,24
Non-Penalty xG,0.02,24
npxG/Sh,0.04,18
Goals - xG,-0.02,30
Non-Penalty Goals - npxG,-0.02,30
Passes Completed,44.38,60
Passes Attempted,59.00,69
Pass Completion %,75.2%,38
Total Passing Distance,673.72,48
Progressive Passing Distance,247.54,46
,,
Passes Completed (Short),25.31,76
Passes Attempted (Short),27.83,75
Pass Completion % (Short),90.9%,79
,,
Passes Completed (Medium),14.82,38
Passes Attempted (Medium),19.73,47
Pass Completion % (Medium),75.1%,23
,,
Passes Completed (Long),2.85,45
Passes Attempted (Long),8.09,73
Pass Completion % (Long),35.2%,5
Assists,0.25,91
xAG,0.11,59
Expected Assists,0.11,57
Key Passes,1.49,85
Passes into Final Third,2.44,32
Passes into Penalty Area,1.16,60
Crosses into Penalty Area,0.83,90
Progressive Passes,2.93,15
Passes Attempted,59.00,69
,,
Live-ball passes,47.56,67
Dead-ball passes,11.15,79
Passes from Free Kicks,1.78,86
Through Balls,0.08,71
Switches,0.12,26
Crosses,7.10,93
Throw-Ins taken,6.94,17
Corner Kicks,2.44,91
,,
Inswinging Corner Kicks,0.99,93
Outswinging Corner Kicks,1.28,91
Straight Corner Kicks,0.00,48
,,
Passes Completed,44.38,60
Passes Offside,0.29,20
Passes Blocked,0.99,81
Shot-Creating Actions,2.81,81
,,
SCA (PassLive),1.78,64
SCA (PassDead),0.78,89
SCA (TO),0.04,39
SCA (Sh),0.08,62
SCA (Fld),0.08,64
SCA (Def),0.04,64
,,
Goal-Creating Actions,0.29,70
,,
GCA (PassLive),0.12,42
GCA (PassDead),0.17,98
GCA (TO),0.00,40
GCA (Sh),0.00,39
GCA (Fld),0.00,39
GCA (Def),0.00,47
Tackles,1.65,27
Tackles Won,0.99,27
Tackles (Def 3rd),0.87,27
Tackles (Mid 3rd),0.58,42
Tackles (Att 3rd),0.21,51
,,
Dribblers Tackled,0.91,37
Dribbles Challenged,1.69,43
% of dribblers tackled,53.7%,29
Challenges Lost,0.78,44
,,
Blocks,0.91,21
Shots Blocked,0.21,33
Passes Blocked,0.70,26
,,
Interceptions,1.20,62
Tkl+Int,2.85,37
Clearances,2.19,59
Errors,0.04,30
Touches,68.12,62
Touches (Def Pen),3.30,62
Touches (Def 3rd),19.57,59
Touches (Mid 3rd),26.01,33
Touches (Att 3rd),23.16,84
Touches (Att Pen),1.03,36
Touches (Live-Ball),68.12,62
,,
Take-Ons Attempted,1.78,66
Successful Take-Ons,0.99,77
Successful Take-On %,55.8%,87
Times Tackled During Take-On,0.58,42
Tackled During Take-On Percentage,32.6%,92
,,
Carries,36.21,60
Total Carrying Distance,170.30,43
Progressive Carrying Distance,90.78,45
,,
Progressive Carries,2.27,57
Carries into Final Third,1.49,47
Carries into Penalty Area,0.25,48
Miscontrols,1.11,53
Dispossessed,0.58,48
,,
Passes Received,41.37,68
Progressive Passes Rec,6.32,80
Yellow Cards,0.25,29
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,1.28,26
Fouls Drawn,0.91,54
Offsides,0.04,70
Crosses,7.10,93
,,
Interceptions,1.20,62
Tackles Won,0.99,27
Penalty Kicks Won,0.00,44
Penalty Kicks Conceded,0.08,7
Own Goals,0.00,55
Ball Recoveries,4.42,9
,,
Aerials won,1.53,85
Aerials lost,1.24,22
% of Aerials Won,55.2%,68
