Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.04,54
Assists,0.18,89
Goals + Assists,0.21,81
Non-Penalty Goals,0.04,55
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.21,34
Red Cards,0.00,62
xG,0.09,90
Non-Penalty xG,0.09,90
xAG,0.23,97
npxG + xAG,0.32,95
,,
Progressive Carries,3.08,87
Progressive Passes,6.66,98
Progressive Passes Rec,5.62,76
Goals,0.04,54
Shots Total,2.33,99
Shots on target,0.50,96
Shots on target %,21.5%,38
Goals/Shot,0.02,41
Goals/Shot on target,0.07,38
Average Shot Distance,23.30,28
Shots from free kicks,0.04,76
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
,,
xG,0.09,90
Non-Penalty xG,0.09,90
npxG/Sh,0.04,22
Goals - xG,-0.05,5
Non-Penalty Goals - npxG,-0.05,5
Passes Completed,63.72,99
Passes Attempted,75.72,99
Pass Completion %,84.2%,96
Total Passing Distance,1016.06,98
Progressive Passing Distance,334.05,90
,,
Passes Completed (Short),34.90,99
Passes Attempted (Short),37.45,99
Pass Completion % (Short),93.2%,97
,,
Passes Completed (Medium),24.09,97
Passes Attempted (Medium),27.64,97
Pass Completion % (Medium),87.2%,95
,,
Passes Completed (Long),3.79,59
Passes Attempted (Long),7.20,47
Pass Completion % (Long),52.7%,70
Assists,0.18,89
xAG,0.23,97
Expected Assists,0.20,94
Key Passes,1.61,88
Passes into Final Third,5.73,98
Passes into Penalty Area,1.36,80
Crosses into Penalty Area,0.72,81
Progressive Passes,6.66,98
Passes Attempted,75.72,99
,,
Live-ball passes,65.19,99
Dead-ball passes,10.38,60
Passes from Free Kicks,1.68,83
Through Balls,0.07,73
Switches,0.43,67
Crosses,4.55,83
Throw-Ins taken,8.02,38
Corner Kicks,0.68,79
,,
Inswinging Corner Kicks,0.04,66
Outswinging Corner Kicks,0.64,89
Straight Corner Kicks,0.00,47
,,
Passes Completed,63.72,99
Passes Offside,0.14,52
Passes Blocked,1.43,21
Shot-Creating Actions,3.15,88
,,
SCA (PassLive),2.36,89
SCA (PassDead),0.39,81
SCA (TO),0.11,70
SCA (Sh),0.18,92
SCA (Fld),0.07,52
SCA (Def),0.04,56
,,
Goal-Creating Actions,0.29,80
,,
GCA (PassLive),0.29,89
GCA (PassDead),0.00,34
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,47
Tackles,0.93,2
Tackles Won,0.68,6
Tackles (Def 3rd),0.54,3
Tackles (Mid 3rd),0.32,8
Tackles (Att 3rd),0.07,13
,,
Dribblers Tackled,0.39,1
Dribbles Challenged,0.82,1
% of dribblers tackled,47.8%,14
Challenges Lost,0.43,84
,,
Blocks,0.86,23
Shots Blocked,0.29,56
Passes Blocked,0.57,25
,,
Interceptions,0.82,14
Tkl+Int,1.75,2
Clearances,1.75,28
Errors,0.00,66
Touches,85.60,99
Touches (Def Pen),2.22,16
Touches (Def 3rd),20.80,75
Touches (Mid 3rd),40.88,99
Touches (Att 3rd),24.95,93
Touches (Att Pen),1.83,81
Touches (Live-Ball),85.60,99
,,
Take-Ons Attempted,1.75,67
Successful Take-Ons,1.11,82
Successful Take-On %,63.3%,95
Times Tackled During Take-On,0.61,50
Tackled During Take-On Percentage,34.7%,87
,,
Carries,53.27,99
Total Carrying Distance,277.63,99
Progressive Carrying Distance,155.41,99
,,
Progressive Carries,3.08,87
Carries into Final Third,2.69,97
Carries into Penalty Area,0.32,66
Miscontrols,1.32,37
Dispossessed,0.29,85
,,
Passes Received,59.32,99
Progressive Passes Rec,5.62,76
Yellow Cards,0.21,34
Red Cards,0.00,62
Second Yellow Card,0.00,55
Fouls Committed,1.32,26
Fouls Drawn,0.75,39
Offsides,0.11,24
Crosses,4.55,83
,,
Interceptions,0.82,14
Tackles Won,0.68,6
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.04,22
Own Goals,0.00,54
Ball Recoveries,6.16,76
,,
Aerials won,0.75,31
Aerials lost,0.61,88
% of Aerials Won,55.3%,68
