 
Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.00,7
Goals + Assists,0.00,5
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.19,42
Red Cards,0.00,62
xG,0.06,77
Non-Penalty xG,0.06,78
xAG,0.06,26
npxG + xAG,0.12,47
,,
Progressive Carries,2.36,67
Progressive Passes,6.83,99
Progressive Passes Rec,4.15,51
Goals,0.00,20
Shots Total,0.26,8
Shots on target,0.06,18
Shots on target %,25.0%,47
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,14.80,88
Shots from free kicks,0.00,36
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
,,
xG,0.06,77
Non-Penalty xG,0.06,78
npxG/Sh,0.25,99
Goals - xG,-0.06,4
Non-Penalty Goals - npxG,-0.06,4
Passes Completed,66.32,99
Passes Attempted,73.34,98
Pass Completion %,90.4%,99
Total Passing Distance,1088.04,98
Progressive Passing Distance,337.79,90
,,
Passes Completed (Short),34.21,99
Passes Attempted (Short),35.94,99
Pass Completion % (Short),95.2%,99
,,
Passes Completed (Medium),25.28,99
Passes Attempted (Medium),27.38,96
Pass Completion % (Medium),92.3%,99
,,
Passes Completed (Long),5.55,91
Passes Attempted (Long),7.21,47
Pass Completion % (Long),77.0%,99
Assists,0.00,7
xAG,0.06,26
Expected Assists,0.06,22
Key Passes,0.77,34
Passes into Final Third,5.81,98
Passes into Penalty Area,0.83,36
Crosses into Penalty Area,0.45,50
Progressive Passes,6.83,99
Passes Attempted,73.34,98
,,
Live-ball passes,63.64,98
Dead-ball passes,9.64,47
Passes from Free Kicks,2.62,95
Through Balls,0.00,17
Switches,0.89,93
Crosses,2.17,26
Throw-Ins taken,7.02,19
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,32
Outswinging Corner Kicks,0.00,30
Straight Corner Kicks,0.00,47
,,
Passes Completed,66.32,99
Passes Offside,0.06,81
Passes Blocked,0.83,82
Shot-Creating Actions,1.91,39
,,
SCA (PassLive),1.53,46
SCA (PassDead),0.06,16
SCA (TO),0.00,14
SCA (Sh),0.00,9
SCA (Fld),0.00,11
SCA (Def),0.32,99
,,
Goal-Creating Actions,0.06,9
,,
GCA (PassLive),0.06,18
GCA (PassDead),0.00,34
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,47
Tackles,2.43,79
Tackles Won,1.66,87
Tackles (Def 3rd),1.02,44
Tackles (Mid 3rd),1.09,93
Tackles (Att 3rd),0.32,82
,,
Dribblers Tackled,1.34,75
Dribbles Challenged,1.66,43
% of dribblers tackled,80.8%,98
Challenges Lost,0.32,94
,,
Blocks,1.15,70
Shots Blocked,0.19,30
Passes Blocked,0.96,82
,,
Interceptions,1.85,90
Tkl+Int,4.28,87
Clearances,1.72,26
Errors,0.00,66
Touches,82.47,98
Touches (Def Pen),2.68,30
Touches (Def 3rd),19.85,65
Touches (Mid 3rd),46.02,99
Touches (Att 3rd),17.23,57
Touches (Att Pen),0.70,24
Touches (Live-Ball),82.47,98
,,
Take-Ons Attempted,1.28,47
Successful Take-Ons,0.57,45
Successful Take-On %,45.0%,47
Times Tackled During Take-On,0.57,46
Tackled During Take-On Percentage,45.0%,52
,,
Carries,49.53,99
Total Carrying Distance,237.00,95
Progressive Carrying Distance,137.43,96
,,
Progressive Carries,2.36,67
Carries into Final Third,2.36,91
Carries into Penalty Area,0.06,13
Miscontrols,0.70,86
Dispossessed,0.64,36
,,
Passes Received,56.23,99
Progressive Passes Rec,4.15,51
Yellow Cards,0.19,42
Red Cards,0.00,62
Second Yellow Card,0.00,55
Fouls Committed,0.89,65
Fouls Drawn,1.28,72
Offsides,0.06,45
Crosses,2.17,26
,,
Interceptions,1.85,90
Tackles Won,1.66,87
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,5.11,35
,,
Aerials won,0.70,25
Aerials lost,0.70,81
% of Aerials Won,50.0%,45
