Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.19,90
Goals + Assists,0.19,76
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.16,55
Red Cards,0.00,62
xG,0.00,1
Non-Penalty xG,0.00,1
xAG,0.11,65
npxG + xAG,0.11,37
,,
Progressive Carries,1.74,43
Progressive Passes,10.27,99
Progressive Passes Rec,2.68,18
Goals,0.00,20
Shots Total,0.06,1
Shots on target,0.00,3
Shots on target %,0.0%,3
Goals/Shot,0.00,21
Average Shot Distance,23.60,25
Shots from free kicks,0.00,36
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
,,
xG,0.00,1
Non-Penalty xG,0.00,1
npxG/Sh,0.02,2
Goals - xG,0.00,62
Non-Penalty Goals - npxG,0.00,62
Passes Completed,63.01,99
Passes Attempted,79.54,99
Pass Completion %,79.2%,75
Total Passing Distance,1341.35,99
Progressive Passing Distance,561.61,99
,,
Passes Completed (Short),20.58,63
Passes Attempted (Short),22.97,62
Pass Completion % (Short),89.6%,69
,,
Passes Completed (Medium),28.27,99
Passes Attempted (Medium),33.56,99
Pass Completion % (Medium),84.2%,86
,,
Passes Completed (Long),12.95,99
Passes Attempted (Long),19.64,99
Pass Completion % (Long),65.9%,97
Assists,0.19,90
xAG,0.11,65
Expected Assists,0.10,55
Key Passes,1.56,87
Passes into Final Third,9.62,99
Passes into Penalty Area,1.34,78
Crosses into Penalty Area,0.19,8
Progressive Passes,10.27,99
Passes Attempted,79.54,99
,,
Live-ball passes,66.31,99
Dead-ball passes,12.86,92
Passes from Free Kicks,3.21,97
Through Balls,0.12,90
Switches,1.34,99
Crosses,1.49,10
Throw-Ins taken,9.40,73
Corner Kicks,0.06,56
,,
Inswinging Corner Kicks,0.00,32
Outswinging Corner Kicks,0.00,30
Straight Corner Kicks,0.00,47
,,
Passes Completed,63.01,99
Passes Offside,0.37,2
Passes Blocked,1.09,57
Shot-Creating Actions,3.27,92
,,
SCA (PassLive),2.74,97
SCA (PassDead),0.28,66
SCA (TO),0.09,64
SCA (Sh),0.00,9
SCA (Fld),0.09,65
SCA (Def),0.06,78
,,
Goal-Creating Actions,0.31,84
,,
GCA (PassLive),0.25,83
GCA (PassDead),0.03,71
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.03,84
GCA (Def),0.00,47
Tackles,3.18,94
Tackles Won,2.02,97
Tackles (Def 3rd),1.28,69
Tackles (Mid 3rd),1.62,99
Tackles (Att 3rd),0.28,76
,,
Dribblers Tackled,1.37,78
Dribbles Challenged,2.77,92
% of dribblers tackled,49.4%,19
Challenges Lost,1.40,5
,,
Blocks,1.03,54
Shots Blocked,0.28,55
Passes Blocked,0.75,50
,,
Interceptions,1.34,62
Tkl+Int,4.51,90
Clearances,1.71,26
Errors,0.00,66
Touches,88.07,99
Touches (Def Pen),4.08,84
Touches (Def 3rd),25.09,95
Touches (Mid 3rd),48.35,99
Touches (Att 3rd),15.50,42
Touches (Att Pen),1.00,42
Touches (Live-Ball),88.07,99
,,
Take-Ons Attempted,1.00,25
Successful Take-Ons,0.53,43
Successful Take-On %,53.1%,77
Times Tackled During Take-On,0.40,23
Tackled During Take-On Percentage,40.6%,71
,,
Carries,46.79,99
Total Carrying Distance,238.43,95
Progressive Carrying Distance,152.79,99
,,
Progressive Carries,1.74,43
Carries into Final Third,1.28,44
Carries into Penalty Area,0.12,31
Miscontrols,0.62,93
Dispossessed,0.34,78
,,
Passes Received,55.85,99
Progressive Passes Rec,2.68,18
Yellow Cards,0.16,55
Red Cards,0.00,62
Second Yellow Card,0.00,55
Fouls Committed,1.12,41
Fouls Drawn,0.81,43
Offsides,0.03,67
Crosses,1.49,10
,,
Interceptions,1.34,62
Tackles Won,2.02,97
Penalty Kicks Won,0.06,97
Penalty Kicks Conceded,0.03,26
Own Goals,0.00,54
Ball Recoveries,5.88,62
,,
Aerials won,0.93,50
Aerials lost,0.56,91
% of Aerials Won,62.5%,88
