Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.05,26
Goals + Assists,0.05,16
Non-Penalty Goals,0.00,20
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.14,61
Red Cards,0.00,62
xG,0.01,13
Non-Penalty xG,0.01,13
xAG,0.06,32
npxG + xAG,0.08,19
,,
Progressive Carries,1.56,32
Progressive Passes,3.03,20
Progressive Passes Rec,3.58,39
Goals,0.00,20
Shots Total,0.37,19
Shots on target,0.05,13
Shots on target %,12.5%,15
Goals/Shot,0.00,20
Goals/Shot on target,0.00,20
Average Shot Distance,24.70,17
Shots from free kicks,0.00,36
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
,,
xG,0.01,13
Non-Penalty xG,0.01,13
npxG/Sh,0.04,22
Goals - xG,-0.01,45
Non-Penalty Goals - npxG,-0.01,44
Passes Completed,40.57,56
Passes Attempted,54.71,62
Pass Completion %,74.2%,42
Total Passing Distance,677.91,54
Progressive Passing Distance,260.55,56
,,
Passes Completed (Short),20.10,61
Passes Attempted (Short),22.90,61
Pass Completion % (Short),87.8%,46
,,
Passes Completed (Medium),16.11,56
Passes Attempted (Medium),21.02,60
Pass Completion % (Medium),76.6%,35
,,
Passes Completed (Long),3.44,48
Passes Attempted (Long),7.25,49
Pass Completion % (Long),47.5%,48
Assists,0.05,26
xAG,0.06,32
Expected Assists,0.07,29
Key Passes,0.64,23
Passes into Final Third,2.85,44
Passes into Penalty Area,0.83,34
Crosses into Penalty Area,0.28,22
Progressive Passes,3.03,20
Passes Attempted,54.71,62
,,
Live-ball passes,43.83,59
Dead-ball passes,10.83,69
Passes from Free Kicks,1.10,61
Through Balls,0.00,17
Switches,0.09,13
Crosses,2.57,40
Throw-Ins taken,9.32,71
Corner Kicks,0.41,73
,,
Inswinging Corner Kicks,0.18,80
Outswinging Corner Kicks,0.05,65
Straight Corner Kicks,0.00,47
,,
Passes Completed,40.57,56
Passes Offside,0.05,88
Passes Blocked,1.84,3
Shot-Creating Actions,1.47,16
,,
SCA (PassLive),1.15,20
SCA (PassDead),0.18,49
SCA (TO),0.00,14
SCA (Sh),0.00,9
SCA (Fld),0.09,64
SCA (Def),0.05,66
,,
Goal-Creating Actions,0.05,6
,,
GCA (PassLive),0.05,10
GCA (PassDead),0.00,34
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,47
Tackles,2.66,88
Tackles Won,1.61,84
Tackles (Def 3rd),1.88,95
Tackles (Mid 3rd),0.64,51
Tackles (Att 3rd),0.14,36
,,
Dribblers Tackled,1.38,79
Dribbles Challenged,2.20,72
% of dribblers tackled,62.5%,67
Challenges Lost,0.83,38
,,
Blocks,0.96,41
Shots Blocked,0.09,10
Passes Blocked,0.87,72
,,
Interceptions,1.29,59
Tkl+Int,3.95,81
Clearances,2.62,73
Errors,0.00,66
Touches,64.44,60
Touches (Def Pen),3.30,54
Touches (Def 3rd),21.48,80
Touches (Mid 3rd),28.59,59
Touches (Att 3rd),15.19,40
Touches (Att Pen),0.60,19
Touches (Live-Ball),64.44,60
,,
Take-Ons Attempted,1.51,59
Successful Take-Ons,0.96,76
Successful Take-On %,63.6%,95
Times Tackled During Take-On,0.50,39
Tackled During Take-On Percentage,33.3%,89
,,
Carries,33.41,64
Total Carrying Distance,170.87,57
Progressive Carrying Distance,92.85,60
,,
Progressive Carries,1.56,32
Carries into Final Third,1.38,50
Carries into Penalty Area,0.18,45
Miscontrols,0.64,92
Dispossessed,0.41,67
,,
Passes Received,35.80,57
Progressive Passes Rec,3.58,39
Yellow Cards,0.14,61
Red Cards,0.00,62
Second Yellow Card,0.00,55
Fouls Committed,1.06,48
Fouls Drawn,0.92,52
Offsides,0.05,57
Crosses,2.57,40
,,
Interceptions,1.29,59
Tackles Won,1.61,84
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,5.74,57
,,
Aerials won,0.73,29
Aerials lost,1.61,8
% of Aerials Won,31.4%,4
