Standard Stats,Standard Stats,Standard Stats
Statistic,Per 90,Percentile
Goals,0.00,20
Assists,0.11,62
Goals + Assists,0.11,41
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.25,26
Red Cards,0.04,17
xG,0.00,2
Non-Penalty xG,0.00,2
xAG,0.05,22
npxG + xAG,0.06,8
,,
Progressive Carries,1.51,30
Progressive Passes,7.59,99
Progressive Passes Rec,1.83,6
Goals,0.00,20
Shots Total,0.11,1
Shots on target,0.00,3
Shots on target %,0.0%,3
Goals/Shot,0.00,21
Average Shot Distance,25.20,14
Shots from free kicks,0.00,36
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
,,
xG,0.00,2
Non-Penalty xG,0.00,2
npxG/Sh,0.04,22
Goals - xG,0.00,59
Non-Penalty Goals - npxG,0.00,58
Passes Completed,63.90,99
Passes Attempted,72.68,97
Pass Completion %,87.9%,99
Total Passing Distance,1206.25,99
Progressive Passing Distance,443.85,99
,,
Passes Completed (Short),26.94,93
Passes Attempted (Short),28.31,90
Pass Completion % (Short),95.2%,99
,,
Passes Completed (Medium),28.14,99
Passes Attempted (Medium),31.12,99
Pass Completion % (Medium),90.4%,99
,,
Passes Completed (Long),8.40,99
Passes Attempted (Long),11.45,92
Pass Completion % (Long),73.3%,99
Assists,0.11,62
xAG,0.05,22
Expected Assists,0.10,59
Key Passes,0.53,13
Passes into Final Third,8.19,99
Passes into Penalty Area,1.02,55
Crosses into Penalty Area,0.32,28
Progressive Passes,7.59,99
Passes Attempted,72.68,97
,,
Live-ball passes,63.93,99
Dead-ball passes,8.54,23
Passes from Free Kicks,2.39,94
Through Balls,0.04,44
Switches,0.98,95
Crosses,1.05,4
Throw-Ins taken,6.15,9
Corner Kicks,0.00,22
,,
Inswinging Corner Kicks,0.00,32
Outswinging Corner Kicks,0.00,30
Straight Corner Kicks,0.00,47
,,
Passes Completed,63.90,99
Passes Offside,0.21,26
Passes Blocked,0.67,94
Shot-Creating Actions,1.90,37
,,
SCA (PassLive),1.65,56
SCA (PassDead),0.07,19
SCA (TO),0.00,14
SCA (Sh),0.04,27
SCA (Fld),0.07,51
SCA (Def),0.07,81
,,
Goal-Creating Actions,0.25,72
,,
GCA (PassLive),0.25,83
GCA (PassDead),0.00,34
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,47
Tackles,2.11,63
Tackles Won,1.19,54
Tackles (Def 3rd),1.09,50
Tackles (Mid 3rd),0.84,78
Tackles (Att 3rd),0.18,49
,,
Dribblers Tackled,1.19,64
Dribbles Challenged,1.90,58
% of dribblers tackled,63.0%,68
Challenges Lost,0.70,55
,,
Blocks,0.60,7
Shots Blocked,0.14,20
Passes Blocked,0.46,10
,,
Interceptions,1.12,44
Tkl+Int,3.23,54
Clearances,1.93,37
Errors,0.00,66
Touches,79.36,97
Touches (Def Pen),3.37,59
Touches (Def 3rd),22.59,87
Touches (Mid 3rd),47.85,99
Touches (Att 3rd),9.34,6
Touches (Att Pen),0.18,1
Touches (Live-Ball),79.36,97
,,
Take-Ons Attempted,0.18,1
Successful Take-Ons,0.11,3
Successful Take-On %,60.0%,90
Times Tackled During Take-On,0.04,1
Tackled During Take-On Percentage,20.0%,99
,,
Carries,47.53,99
Total Carrying Distance,196.30,74
Progressive Carrying Distance,115.54,83
,,
Progressive Carries,1.51,30
Carries into Final Third,1.51,59
Carries into Penalty Area,0.04,6
Miscontrols,0.53,97
Dispossessed,0.00,99
,,
Passes Received,55.71,99
Progressive Passes Rec,1.83,6
Yellow Cards,0.25,26
Red Cards,0.04,17
Second Yellow Card,0.04,6
Fouls Committed,1.05,49
Fouls Drawn,0.74,38
Offsides,0.00,85
Crosses,1.05,4
,,
Interceptions,1.12,44
Tackles Won,1.19,54
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,5.02,32
,,
Aerials won,0.63,19
Aerials lost,0.67,83
% of Aerials Won,48.6%,41
